,est_price,blind_assessment,after_slash,before_slash,before_DOL,rem_D,Euro
2693,$19.50/12 ounces,"Deeply sweet and resonant. Honey, cedar, ripe blackberry, tangerine, lavender in aroma and cup. Round, sweet-toned acidity; buoyant, lightly syrupy mouthfeel. Honey, lavender and tangerine saturate the long, rich finish.",12 ounces,$19.50,,19.5,18.33
2694,$13.99/12 ounces," Delicately sweet, deeply savory. Tea rose, honey, violet, almond in aroma and cup. Round, fruit-toned acidity; full, syrupy mouthfeel. Honey and tea rose carry into the rich, deeply resonant finish.",12 ounces,$13.99,,13.99,13.150599999999999
2695,$62.00/8 ounces,"Deep, floral, flavor-saturated. Complex flowers (lavender, violet, more), blood orange, cocoa, a subtle suggestion of Highland whisky in aroma and cup. Round, tartly juicy acidity; plush, velvety mouthfeel. Flowers, orange, cocoa, whisky all carry deep into a finish that rings on and on.",8 ounces,$62.00,,62.0,58.279999999999994
2696,$46.95/12 ounces,"Delicate, immense, deeply floral. Rose, hazelnut, vanilla and cocoa butter in aroma and cup. Juicy, sweet acidity; silky-smooth mouthfeel. Long, crisp, cocoa-laden and floral finish.",12 ounces,$46.95,,46.95,44.133
2697,$40.00/8 ounces,"Delicately sweet and exotically spicy. Tea rose, cocoa nib, cedar, frankincense, much more in aroma and cup. Dynamic and expansive acidity; satiny mouthfeel. Rich, resonant finish infused with musky floral notes far into the long.",8 ounces,$40.00,,40.0,37.599999999999994
2698,$20.00/250 grams,"Invitingly spicy and expansive. Candied ginger, cocoa nib, lychee and vanilla in aroma and cup. Delicate, juicy acidity; full, satiny mouthfeel. Richly drying finish features cocoa nib and ginger notes and lingering hints of lychee. ",250 grams,$20.00,,20.0,18.799999999999997
2699,$18.00/12 ounces,"Evaluated as espresso. Fruit-forward, chocolaty, intricately structured. Blood orange, dark chocolate, saffron, lavender in aroma and small cup. Plump, silky mouthfeel; citrus, lavender and chocolate notes carry into a long, rich, expansive finish. The chocolate, flowers and fruit round but resonate harmoniously in three parts milk.",12 ounces,$18.00,,18.0,16.919999999999998
2700,$20.00/250 grams,"Deeply sweet and richly savory. Black cherry, tamarind, liquorice bark and lavender in aroma and cup. Gentle, balanced acidity; levitatingly velvety mouthfeel. Cocoa and black cherry notes predominate in the crisp, resonant finish.",250 grams,$20.00,,20.0,18.799999999999997
2701,$14.99/12 ounces," Intensely and sweetly roasty. Baker’s chocolate, scorched cedar, hints of apple and grapefruit in aroma and cup. Lightly syrupy, plump mouthfeel. The finish is drying but richly chocolate-toned.",12 ounces,$14.99,,14.99,14.0906
2702,NT $900/8 ounces,"Evaluated as espresso. Deep, resonant, savory-sweet. Black currant, dark chocolate, black sage, dusk-blooming flowers in aroma and small cup. Lightly syrupy, lively mouthfeel; black currant and sage carry into a drying but rich finish. The sweet-savory fruit and chocolate character blooms pleasingly in three parts milk.",8 ounces,NT $900,NT ,900.0,
2703,NT $700/8 ounces,"Evaluated as espresso. Sweet, intricate, pungently floral. Baker’s chocolate, grapefruit, lavender, stone fruit in aroma and small cup. Lightly satiny, lively mouthfeel. A crisp, floral-toned chocolate dominates in the finish and carries with brisk elegance into three parts milk.",8 ounces,NT $700,NT ,700.0,
2704,NT $700/8 ounces,"Evaluated as espresso. Floral-toned, sweetly brisk. Dark chocolate, raspberry, lilac-like flowers, incense-like cedar in aroma and small cup. Light, silky mouthfeel; richly drying, flavor-saturated finish. Briskly complex in three-parts milk: lilac, cedar, chocolate.",8 ounces,NT $700,NT ,700.0,
2705,NT $800/8 ounces,"Evaluated as espresso. Lush, sweet, musky. Lily, peach, guava, chocolate in aroma and small cup. Full, syrupy mouthfeel. Very sweet finish with a slight drying edge. Fat and nicely nuanced in three parts milk: continued peach, guava, chocolate.",8 ounces,NT $800,NT ,800.0,
2706,NT $900/8 ounces,"Evaluated as espresso. Massively rich, savory sweet, deeply complex. Dark chocolate, black currant, wisteria and lavender, tangerine-like citrus in aroma and small cup. Full, velvety mouthfeel; smooth, flavor-saturated finish. Chocolate turns fudgy and the flowers deepen in three parts milk. ",8 ounces,NT $900,NT ,900.0,
2707,$16.00/8 ounces,"Richly fruit-forward and floral. Violet, blueberry, cocoa, almond in aroma and cup. Delicately crisp acidity; lively, silky mouthfeel. Cocoa and nut extend into the crisply drying, long finish.",8 ounces,$16.00,,16.0,15.04
2708,$18.00/12 ounces,"Rich and deeply sweet. Honey, lavender, Concord grape, roasted cacao nib, myrrh in aroma and cup. Juicy, lyrical acidity; plump, satiny mouthfeel. Flavor, particularly grape and cacao nib, consolidate in a richly drying finish. ",12 ounces,$18.00,,18.0,16.919999999999998
2709,$19.50/12 ounces,"Pungently fruit-forward and crisply floral. Plumeria-like flowers, Graham cracker, mulberry, almond in aroma and cup. Crisp, succulent acidity; full, velvety mouthfeel. Fruit and floral notes consolidate in a long, sweet, balanced finish.",12 ounces,$19.50,,19.5,18.33
2710,$18.00/320 grams,"Evaluated as espresso. Not for espresso traditionalists or the faint of palate. Intensely and uncompromisingly bright and floral. Very complex flowers (lavender, jasmine, lily), passion fruit, sandalwood, roasted cacao nib in aroma and small cup. Satiny, lively mouthfeel; richly drying, deeply and ringingly flower-saturated finish. Crisply fruit- and floral-toned in three parts milk, with only a cocoaish hint of chocolate. ",320 grams,$18.00,,18.0,16.919999999999998
2711,$22.50/250 grams,"Evaluated as espresso. Striking and original: chocolaty yet richly tart. Dark chocolate, strawberry guava, sweet grapefruit, honeysuckle in aroma and small cup. Velvety, juicy mouthfeel; fruit and chocolate carry into a deep, drying finish. Carries its complexity into three parts milk, where the fruit rounds a bit and the fudgy chocolate intensifies.   ",250 grams,$22.50,,22.5,21.15
2712,$14.50/250 grams,"Floral and sweetly spicy. Lychee, almond, vanilla and complex florals in aroma and cup. Juicy, balanced acidity; buoyant, lightly syrupy mouthfeel. Richly sweet finish carried by a mix of floral notes in the short, condensing to lavender and lychee in the long.",250 grams,$14.50,,14.5,13.629999999999999
2713,$19.25/16 ounces,"Musky, rich, fruity. Red currant, lily, cocoa nib, oak in aroma and cup. Rich, crisp acidity; lively silky-smooth mouthfeel. Nuts and cocoa nib carry into the deeply resonant finish.",16 ounces,$19.25,,19.25,18.095
2714,$14.85/12 ounces,"Sweetly brisk and perfumy. Honey, tea rose, dark chocolate, candied walnut in aroma and cup. Crisp, sweetly tart acidity; light but velvety mouthfeel. Rich, long, deeply flavor-saturated finish.",12 ounces,$14.85,,14.85,13.959
2715,$17.80/12 ounces,"Exhilaratingly intricate yet classically complete and balanced. Mango, honey, lilac, baker’s chocolate in aroma and cup. Lyric, sweet acidity; light, levitating, silky mouthfeel. Flavor saturates a very sweet-toned, resonant finish.",12 ounces,$17.80,,17.8,16.732
2716,$15.95/12 ounces," Spicy, sweet, subtly intricate. Dark chocolate, lavender, sandalwood, pink peppercorn in aroma and cup. Tart but profoundly sweet acidity; satiny mouthfeel. Chocolate and lavender carry far into a richly sweet finish. ",12 ounces,$15.95,,15.95,14.992999999999999
2717,$17.00/12 ounces,"Crisply sweet, cocoa-toned. Cocoa, baked apple, vanilla bean, elm in aroma and slightly savory cup. Gently rounded acidity; lightly syrupy mouthfeel. Baked apple and elm carry into a sweet-savory finish. ",12 ounces,$17.00,,17.0,15.979999999999999
2718,$17.50/12 ounces,"Complex and deeply sweet. Apricot, dark chocolate, hazelnut, narcissus, an Oolong tea suggestion in aroma and cup. Juicy, gently tart acidity; plush, syrupy mouthfeel. Cocoa-toned and savory in the short finish, richly drying in the long.",12 ounces,$17.50,,17.5,16.45
2719,$17.00/12 ounces," Delicately sweet yet resonantly deep. Honey, peach, almond, gardenia-like flowers in aroma and cup. Crisp, juicy acidity; silky-smooth mouthfeel. Balanced and richly drying finish, with peach notes in the short and roasted cacao nib in the long.",12 ounces,$17.00,,17.0,15.979999999999999
2720,$15.45/12 ounces,"Sweet and delicately rich. Strawberry, almond, honeysuckle, cedar in aroma and cup. Crisp, balanced acidity; buoyant, velvety mouthfeel. Berry and nut flavors resonate in a richly drying finish.",12 ounces,$15.45,,15.45,14.522999999999998
2721,NT $300/500 grams,"Evaluated as espresso. Deep, cedary and chocolaty. Dark chocolate, fresh-cut cedar, moist tobacco, a hint of lily-like flowers in aroma and small cup. Lean but smooth mouthfeel. Cedar dominates in a dry finish. Crisply dry chocolate nuanced by lily and fresh tobacco in three parts milk. ",500 grams,NT $300,NT ,300.0,
2722,NT $450/454 grams,"Evaluated as espresso. Rich and deep with floral top notes. Caramel, carob, cedar, lily in aroma and small cup. Full, syrupy, though rather dry mouthfeel; lily and cedar, in particular, carry into a crisp, balanced finish. Carob, cedar and a hint of flowers in three parts milk.",454 grams,NT $450,NT ,450.0,
2723,NT $450/454 grams,"Evaluated as espresso. Sweetly crisp, but round. Vanilla, spicy-rich cedar, lily-like flowers, brisk cranberry in aroma and small cup. Full, creamy mouthfeel; sweet-toned cedar and chocolate notes carry into a rich finish. Crisply savory-sweet and redolent of cedar and sage in three parts milk.",454 grams,NT $450,NT ,450.0,
2724,NT $2800/454 grams,"Evaluated as espresso. Bright, juicy, tropical. Pineapple, passion fruit, rose-like flowers, musk, a backgrounded dark chocolate in aroma and small cup. Satiny mouthfeel. Chocolate and tart fruit carry into a richly drying finish. Crisp, still juicy, and deeply and subtly nuanced in three parts milk. ",454 grams,NT $2800,NT ,2800.0,
2725,NT $450/100 grams,"Elaborately rich and fruit-forward. Ripe strawberry, sandalwood, violet-like flowers and a hint of rye whisky in aroma and cup. Richly and roundly tart acidity; velvety mouthfeel. Long, clean finish is saturated with strawberry and sandalwood.",100 grams,NT $450,NT ,450.0,
2726,$14.95/12 ounces,"Complete; delicately sweet and intricately structured. Tart, juicy acidity; buoyant, syrupy mouthfeel. Lemon zest, almond, butterscotch, rosemary flower in aroma and cup. Zesty, bittersweet finish in the short with a subtle flourish of spicy flowers in the long.",12 ounces,$14.95,,14.95,14.052999999999999
2727,$20.00/12 ounces,"Richly and deeply sweet. Molasses, dark chocolate, Asian pear and narcissus in aroma and cup. Bittersweet acidity; silky mouthfeel. Nut leads at the front of the short, richly drying finish.",12 ounces,$20.00,,20.0,18.799999999999997
2728,$15.00/12 ounces,"Delicate and immaculately sweet. Dried blueberry, almond, white tea, lilac in aroma and cup. Balanced, juicy acidity; velvety-smooth mouthfeel. Quietly resonant finish, fruity throughout and sweetly nutty in the long.",12 ounces,$15.00,,15.0,14.1
2729,$18.49/12 ounces,"Delicately sweet, nutty. Caramel, honeysuckle, walnut, fir in aroma and cup. Juicy, rounded acidity; satiny-smooth mouthfeel. Graceful, sweet finish redolent of cacao nib in the short and walnut in the long.",12 ounces,$18.49,,18.49,17.380599999999998
2730,$20.00/12 ounces,"Subtly sweet, rich, enlivened by tart fruit notes. Pie cherry, lavender, dried basil, hazelnut butter in aroma and cup. Juicy, tart acidity; full, lightly syrupy mouthfeel. Baker’s chocolate surfaces in a richly drying finish. ",12 ounces,$20.00,,20.0,18.799999999999997
2731,$29.99/12 ounces,"Roast-toned and floral. Singed oak, pomegranate, lavender, baker’s chocolate in aroma and cup. Quiet, juicy acidity; plump, syrupy mouthfeel. Hints of lavender and cocoa in the gently drying finish.",12 ounces,$29.99,,29.99,28.190599999999996
2732,$14.95/12 ounces,"Evaluated as espresso. Bold, chocolaty and citrus-toned. Tangerine, sandalwood, lily and savory chocolate in aroma and cup. Plump, creamy mouthfeel; chocolate and tangerine persist in a pleasingly tart finish. ",12 ounces,$14.95,,14.95,14.052999999999999
2733,$17.99/12 ounces,"Sweet and savory. Raisin, fir, pecan and ripe tomato in aroma and cup. Lively, tart acidity; plump, round mouthfeel. Hints of roasted cacao nib in the richly drying finish, with ripe tomato resurfacing in the long. ",12 ounces,$17.99,,17.99,16.9106
2734,$17.00/12 ounces,"Richly and sweetly pungent. Apricot, hazelnut, roasted cacao nib and freesia-like flowers in aroma and cup. Bright, juicy acidity; smooth, satiny mouthfeel. The gently drying finish is redolent of hazelnut with a hint of cacao nib.",12 ounces,$17.00,,17.0,15.979999999999999
2735,$16.49/12 ounces,"Delicate and sweet. Caramel, tangerine, lavender and sandalwood in aroma and cup. Crisply sweet acidity; buoyant, silky-smooth mouthfeel. Balanced and elegantly dry, flavor-saturated finish dominated by tangerine in the short and sandalwood in the long.",12 ounces,$16.49,,16.49,15.500599999999997
2736,$15.49/12 ounces,"Delicately sweet and savory. Meyer lemon, blackcurrant, geranium, cedar and black tea in aroma and cup. Sweetly crisp, resonant acidity; full, syrupy mouthfeel. Dark chocolate and raisin consolidate in a deep, long finish.",12 ounces,$15.49,,15.49,14.560599999999999
2737,NT $250/8 ounces,"Softly crisp, round, resonant. Honey, rose, blackberry, hazelnut in aroma and cup. Sweetly brisk, berry-toned acidity; lightly syrupy mouthfeel. Berry notes carry into a sweet, quietly rich finish.",8 ounces,NT $250,NT ,250.0,
2738,NT $300/8 ounces,"Sweetly and gently bright, quietly intricate. Orange, cedar, roasted cacao nib, jasmine in aroma and cup. Delicate, graceful acidity; light, silky mouthfeel. Orange and jasmine in particular carry into a sweet-toned, surprisingly resonant finish.",8 ounces,NT $300,NT ,300.0,
2739,NT $350/8 ounces,"Sweet, deep, complexly fruit-toned. Tangerine, plum, fresh tobacco, hints of brandy and lily in aroma and cup. Round, resonant acidity; full, syrupy mouthfeel. Flavor consolidates in a sweet, cleanly brandy-toned finish.",8 ounces,NT $350,NT ,350.0,
2740,$15.15/12 ounces,"Richly and deeply sweet. Molasses, baker’s chocolate, passion fruit, oak and gardenia in aroma and cup. Crisply sweet, lively acidity; light, silky mouthfeel. Passion fruit notes carry into the resonantly sweet and quietly tart finish. ",12 ounces,$15.15,,15.15,14.241
2741,$15.45/12 ounces,"Crisply sweet and spicy. Blackberry, sandalwood, ripe tomato and cocoa in aroma and cup. Juicy, balanced acidity; lightly syrupy mouthfeel. Flavor saturates the sweet, long, resonant finish.",12 ounces,$15.45,,15.45,14.522999999999998
2742,$8.49/28 ounces,"Cloying raw nut and vaguely spicy wood dominate in both aroma and cup, with some suggestions of roasted cacao nib and raisin. Simple, bittersweet acidity; syrupy, though rather inert, mouthfeel. Flavor smooths out a bit in the finish, with a little more cacao and raisin and a little less raw nut and wood.",28 ounces,$8.49,,8.49,7.9806
2743,$4.49/10.3 ounces,"Crisply sweet, delicate, balanced but simple. Molasses, raisin, freshly cut fir, a hint of hazelnut in aroma and cup. Crisp, though rather muted, acidity; silky, but very light, mouthfeel. Sweet in the finish, though drying and rather woody.",10.3 ounces,$4.49,,4.49,4.2206
2744,$13.99/12 ounces,"Quiet; brisk but sweet. Black tea, almond, elm, bergamot, carob in aroma and cup. Round, backgrounded acidity; full, plush mouthfeel. Citrusy finish in the short, carob and elm in the long.",12 ounces,$13.99,,13.99,13.150599999999999
2745,$11.99/12 ounces,"Mild, sweetly pungent. Apricot, brown sugar, hints of dark chocolate and lily in aroma and cup. Round, backgrounded acidity; plump mouthfeel. Flavor makes a rather faint last stand in a quiet finish.",12 ounces,$11.99,,11.99,11.2706
2746,$7.79/12 ounces,"Rich, roast-rounded. Baker’s chocolate, hazelnut, fir, brown sugar in aroma and cup. Gentle, balanced acidity; crisp, lightly syrupy mouthfeel. Flavors consolidate in a dry, spicy finish, with chocolate lingering into the long.",12 ounces,$7.79,,7.79,7.3225999999999996
2747,$12.99/12 ounces,"Quiet, sweet-savory. Green apple, brown sugar, cedar, white peppercorn in aroma and cup. Brisk, juicy acidity; plump mouthfeel. Flavor consolidates in a crisp, dry finish.",12 ounces,$12.99,,12.99,12.2106
2748,$8.49/12 ounces,"Sweetly and gently pungent, quietly complex. Dark chocolate, cedar, hazelnut, plum in aroma and cup. Round, backgrounded but softly resonant acidity; lightly syrupy mouthfeel. Hints of dark chocolate, cedar and plum all linger faintly but persistently in a sweet-toned finish.  ",12 ounces,$8.49,,8.49,7.9806
2749,$11.99/12 ounces,"Delicately and richly sweet. Orange marmalade, tea rose, fresh-cut fir, cashew in aroma and cup. Round, bittersweet acidity; full, lightly velvety mouthfeel. Fir and plum predominate in the quietly sweet, slightly drying finish.",12 ounces,$11.99,,11.99,11.2706
2750,$7.99/13 ounces,"Those who value a roundly assertive Kenya with rich, complexly stated sweetness enveloping tart fruit notes. An almost shockingly low price for a Kenya this distinctive and pleasing.",13 ounces,$7.99,,7.99,7.5106
2751,$12.99/12 ounces,"Spicy, crisply sweet. Green apple and grape, sandalwood, roasted cacao nib, a hint of myrrh in aroma and cup. Round, brisk but juicy acidity; silky mouthfeel. Citrus and sandalwood, in particular, carry into a dry, zesty finish.",12 ounces,$12.99,,12.99,12.2106
2752,$17.99/12 ounces,"Crisply and subtly sweet. Black currant, almond, gardenia-like flowers, dark chocolate in aroma and cup. Rounded, rich acidity; light but syrupy mouthfeel. Black currant and chocolate notes resonate in the quietly rich-toned, gently drying finish.",12 ounces,$17.99,,17.99,16.9106
2753,$10.95/12 ounces,"Roast-toned and chocolaty. Roasted almond, dark chocolate, narcissus, molasses in aroma and cup. Crisply dry acidity; velvety mouthfeel. Chocolate and nut suggestions consolidate in a gently drying finish.",12 ounces,$10.95,,10.95,10.293
2754,$17.50/12 ounces," Elegantly powerful, exquisitely floral-toned. Apricot marmalade, brandy, white pepper, myrrh and molasses in aroma and cup. Crisp, round, deeply sweet acidity; liltingly plush mouthfeel. All flavor notes carry into a quietly resonant, long finish.",12 ounces,$17.50,,17.5,16.45
2755,$13.70/12 ounces,"Rich and deeply sweet. Caramel, gardenia, apricot, malt in aroma and cup. Gentle, richly rounded acidity; richly creamy mouthfeel. Caramel and malt carry into the clean, gently drying finish.",12 ounces,$13.70,,13.7,12.877999999999998
2756,$13.50/12 ounces,"Delicate, sweetly rich. Mulberry, tea rose, cacao nib, cedar in aroma and cup. Lightly juicy acidity; velvety mouthfeel. Cacao nib and cedar carry into the crisp, richly drying finish.",12 ounces,$13.50,,13.5,12.69
2757,$14.25/12 ounces,"Delicate and sweetly spicy. Hibiscus, hazelnut, peach, grapefruit zest, sweet lavender in aroma and cup. Juicy, plump acidity; satiny mouthfeel. Grapefruit zest and hazelnut predominate in the crisp, richly sweet finish. ",12 ounces,$14.25,,14.25,13.395
2758,$15.50/12 ounces,"Elaborately rich and sweet. Candied lemon zest, cacao nib, jasmine, sandalwood in aroma and cup. Gentle, slightly bitter acidity; lightly silky mouthfeel. Resonant finish dominated by lemon zest in the short finish and cacao nib and frankincense in the long.",12 ounces,$15.50,,15.5,14.569999999999999
2759,$17.50/12 ounces,"Delicate, rich, sweetly floral. Tangerine blossom, cinnamon, passion fruit and dark chocolate in aroma and cup. Plump, balanced acidity; syrupy mouthfeel. Cocoa and cinnamon, in particular, carry into a long, resonant finish.",12 ounces,$17.50,,17.5,16.45
2760,$35.00/8 ounces,"Complex, delicate, richly sweet. Mango, blood orange, nougat, violet, myrrh in aroma and cup. Vibrant, juicy acidity; velvety-smooth mouthfeel. All of the fruit, flower, nut and exotic spice notes carry through a deep, flavor-saturated finish.",8 ounces,$35.00,,35.0,32.9
2761,NT $500/16 ounces,"Immense, intricate, sweet. Lychee, caramelized pear, lush rose, rye whiskey and hazelnut in aroma and cup. Rich, juicy acidity; buoyant, silky mouthfeel. Lychee, cacao nib and a hint of fine musk carry the long, crisp, nuanced finish.",16 ounces,NT $500,NT ,500.0,
2762,NT $600/16 ounces," Lush and fruit-forward. Jasmine, blood orange, frankincense and almond butter in aroma and cup. Rich, vibrant acidity; syrupy-smooth mouthfeel. The juicy finish is redolent of jasmine and almond.",16 ounces,NT $600,NT ,600.0,
2764,$12.95/12 ounces,"Evaluated as espresso. Syrupy, savory-sweet, roasty. Dark chocolate, scorched mesquite, orange zest, very ripe peach in aroma and small cup. Fat, syrupy mouthfeel; heavy, savory-sweet finish. Fruit-toned chocolate and mesquite dominate in three parts milk.",12 ounces,$12.95,,12.95,12.172999999999998
2765,$21.50/12 ounces,"Crisp, soft, complexly layered. Violets, roasted cacao nib, cinnamon bark, tamarind in aroma and cup. Roundly gentle acidity; plush, enveloping mouthfeel. Cinnamon and cacao nib in particular carry into a long, resonant finish.",12 ounces,$21.50,,21.5,20.209999999999997
2766,$15.00/16 ounces,"Evaluated as espresso. Sweetly nuanced, crisp, balanced. Tangerine, pomegranate, honeysuckle, sandalwood in aroma and small cup. Light, satiny mouthfeel; layered fruit notes ring on in a gently tart finish. Three parts milk rounds the fruit, turning it delicately chocolaty.",16 ounces,$15.00,,15.0,14.1
2767,$15.75/12 ounces,"Evaluated as espresso. Lush yet deeply savory; original. Honey, dark chocolate, roasted pine nut, horned melon, wisteria in aroma and small-cup. Full, syrupy mouthfeel. Fruit and flowers carry into a resonant short finish that turns richly drying in the long. Fills out milk with a complexly savory-sweet chocolate and peach- and melon-toned fruit.",12 ounces,$15.75,,15.75,14.805
2768,$17.50/12 ounces,"Evaluated as espresso. Lushly but resonantly bright; juicy. Complex fruit (mango, guava, tangerine), dark chocolate, sandalwood, jasmine in aroma and small cup. Silky mouthfeel; crisp, deeply flavor-saturated finish. Maintains its complexity into three parts milk, untamed and fruit-forward.  ",12 ounces,$17.50,,17.5,16.45
2769,$18.50/12 ounces,"Sweetly spicy and complex. Nutmeg, baker’s chocolate, Asian pear and a hints of lavender and peppermint in aroma and cup. Gentle, round acidity; syrupy-smooth mouthfeel. Pear, mint, lavender and baker’s chocolate all carry into a savory, richly drying finish. ",12 ounces,$18.50,,18.5,17.39
2770,$18.50/12 ounces,"Elegantly fruit-toned and rich. Blueberry, complex flowers (sweet lilac, pungent dried hibiscus), frankincense, fudgy chocolate in aroma and cup. Sweet, juicy acidity; buoyant, silky-smooth mouthfeel. Hibiscus and lilac carry the short finish, while blueberry and chocolate resurface in the long.",12 ounces,$18.50,,18.5,17.39
2771,NT $450/454 grams,"Evaluated as espresso. Subtly rich and balanced. Cedar, cocoa-powder, plum, star-anise, vanilla in aroma and small-cup. Lightly satiny mouthfeel. Flavor consolidates around quiet cocoa and cedar in a sweet finish. Fills out three parts milk nicely with continued cocoa and cedar notes.",454 grams,NT $450,NT ,450.0,
2772,NT $450/454 grams,"Evaluated as espresso. Cocoa-toned, pungently roasty. Blackberry, cocoa, cedar, ripe (almost overripe) plum in aroma and small cup. Very lightly syrupy mouthfeel; cocoa and cedar persist in a richly drying finish. Muscular in three parts milk: dark chocolate, cedar, ripe plum, blackberry.",454 grams,NT $450,NT ,450.0,
2773,$14.99/12 ounces,"Deeply sweet and fruit-toned. Dried blueberry, sandalwood, cocoa powder, sweet-toned bourbon whisky in aroma and cup. Juicy, round acidity; silky, buoyant mouthfeel. The whisky suggestion on the nose and in the cup carries through the crisp, flavor-saturated finish.",12 ounces,$14.99,,14.99,14.0906
2774,$34.95/8 ounces,"Deeply rich, subtly complex. Honey, prickly pear fruit, clove, cocoa nib and jasmine in aroma and cup. Delicate, dynamically composed acidity; buttery-smooth mouthfeel. The resonant, spice-toned finish leads with cocoa butter in the short and clove notes in the long.",8 ounces,$34.95,,34.95,32.853
2775,RMB $80.00/227 grams,"Evaluated as espresso. Crisply cocoa-toned, quietly complex. Baker’s chocolate, fresh-cut cedar, apricot jam, anise in aroma and small cup. Satiny mouthfeel. Chocolate and cedar carry into a resonant though drying finish. Surprisingly buttery and fat in three parts milk, with continued apricot and cedar notes.",227 grams,RMB $80.00,RMB ,80.0,
2776,$15.00/12 ounces,"Delicately sweet-savory. Black currant, cocoa powder, gardenia, nutmeg, blackberry jam in aroma and cup. Soft but vibrant acidity; lightly syrupy mouthfeel. Black currant notes carry the richly drying, sweetly resonant finish.",12 ounces,$15.00,,15.0,14.1
2777,$16.50/12 ounces,"Delicate and high-toned. Raspberry cider, dried hibiscus flower, liquorice root, roasted cacao nib in aroma and cup. Juicy, gently sweet acidity; light, satiny mouthfeel. The quietly sweet finish is redolent of cacao nib and dried hibiscus in the short, walnut in the long.",12 ounces,$16.50,,16.5,15.51
2778,$21.00/12 ounces,"Balanced, delicate and sweet. Peach, lemon zest, cedar, cacao nib, narcissus in aroma and cup. Juicy, lightly tart acidity; smooth, satiny mouthfeel. Flavor consolidates around lemon zest and peach in the clean, resonant finish. ",12 ounces,$21.00,,21.0,19.74
2779,$14.00/12 ounces,"Evaluated as espresso. Deeply savory/sweet, floral-toned. Apricot, cedar, dark chocolate, a hint of lush narcissus in aroma and small cup. Creamy, light mouthfeel. Nut and rosemary notes surface, complicating the cedar in the savory, slightly tart finish. The herby cedar lingers in three parts milk, and apricot resurfaces.",12 ounces,$14.00,,14.0,13.16
2780,$10.75/12 ounces,"Richly and deeply sweet. Baker’s chocolate, raisin, Brazil nut, magnolia, oak in aroma and cup. Roundly tart acidity; plump, syrupy mouthfeel. Richly drying, quietly nut-toned finish.",12 ounces,$10.75,,10.75,10.104999999999999
2781,$16.75/12 ounces,"Delicate, sweetly spicy. Toffee, clove, sweet grapefruit, lavender in aroma and cup. Briskly tart, balanced acidity; crisp, delicate mouthfeel. Toffee and sweet grapefruit notes carry the rich, lightly sweet, flavor-saturated finish.",12 ounces,$16.75,,16.75,15.745
2782,$17.00/12 ounces,"Delicate and sweetly intricate. Orange blossom, frankincense, pie cherry, roasted cacao nib in aroma and cup. Crisp, lively acidity; light, satiny mouthfeel. All flavor notes carry into the sweetly crisp, flavor-saturated finish.",12 ounces,$17.00,,17.0,15.979999999999999
2783,NT $150/100 grams,"Delicate, deeply sweet. Roasted cacao nib, cinnamon, dried fig, vanilla in aroma and cup. Rich, vibrantly juicy acidity; lightly velvety mouthfeel. Fig, cinnamon and a hint of vanilla carry into the rich, resonant finish.",100 grams,NT $150,NT ,150.0,
2784,$17.75/12 ounces,"Deeply aromatic and intensely sweet. Dried blueberry, pipe tobacco, lavender, sweet cocoa, a hint of whisky in aroma and cup. Juicy, quietly vibrant acidity; velvety-smooth mouthfeel. Flavor consolidates around dried blueberry and lavender in the short finish; the whisky hint returns in the long.",12 ounces,$17.75,,17.75,16.685
2785,$17.50/12 ounces,"Subtly dynamic, deeply and sweetly pungent. Roasted cacao nib, black currant, almond butter, lavender in aroma and cup. Crisp, juicy, balanced acidity; lightly syrupy mouthfeel. Roasted cacao nib leads a resonant short finish; in the long, a sweet coconut surfaces, giving the coffee a whiff of the tropics.",12 ounces,$17.50,,17.5,16.45
2786,NT $750/16 ounces,"Delicately sweet. Orange zest, fir, candied walnut, faint honeysuckle and musk in aroma and cup. Round, balanced acidity; lightly satiny mouthfeel. The richly sweet finish consolidates around orange zest and walnut.",16 ounces,NT $750,NT ,750.0,
2787,$22.00/16 ounces,"Deep and richly sweet. Mulberry, fresh-cut oak, peppermint, hazelnut, faint narcissus in aroma and cup. Juicy, vibrantly tart acidity; plump, velvety mouthfeel. Finish consolidates around a rich hazelnut- and molasses-inflected sweetness.",16 ounces,$22.00,,22.0,20.68
2788,$14.95/12 ounces,"Richly sweet, subtly floral. Butterscotch, hops, dark chocolate, honeydew melon in aroma and cup. Round, mellow acidity; full, buttery mouthfeel. Flavor consolidates to a savory hops note in the clean, lightly resonant finish.",12 ounces,$14.95,,14.95,14.052999999999999
2789,$14.75/12 ounces,"Deeply sweet, intricately rich. Lime zest, red currant, white sage, almond butter, magnolia-like flowers in aroma and cup. Zesty, juicy acidity; light, satiny-smooth mouthfeel. White sage and red currant are the throughline of the sweetly resonant, long finish. A coconut note surfaces in the very long.",12 ounces,$14.75,,14.75,13.864999999999998
2790,$20.00/250 grams,"Elegantly floral, strikingly complex. Roasted cacao nib, jasmine, caramel, dried raspberry and cinnamon in aroma and cup. Vibrantly rich, balanced acidity; delicate, velvety mouthfeel. Flavor notes carry intact through the strikingly long, satisfying finish. ",250 grams,$20.00,,20.0,18.799999999999997
2791,$15.25/12 ounces,"Delicate, richly sweet. Gardenia, tangerine peel, cocoa powder, oak, allspice in aroma and cup. Gently tart acidity; satiny mouthfeel. The lightly resonant finish consolidates around tangerine peel in the short and cocoa powder in the long. ",12 ounces,$15.25,,15.25,14.334999999999999
