,coffee_name,rating,rating_cat,est_price,aftertaste,aroma,body,flavor,agtron,blind_assessment,coffee_origin,notes,roast_level,roaster,roaster_location,url,clusters,max_match_key,Fruity,Tropical,Citrusy,Woody,Berry,Sweet,Candy,Nutty,Creamy,Herbal,Chocolaty,Floral,Texture,Character,Acidity / Spicy,Delicate,Bold,score
1990,Signature Blend,91,Very Good to Outstanding,NT $280/454 grams,8,8,8,9,52/68,"Crisply sweet, nut-toned. Almond, caramel, freesia, green apple, cedar in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Finish consolidates to almond and caramel tones.",Ethiopia; Sumatra; Colombia; Brazil; Guatemala,"A blend of washed-process coffees from Ethiopia, Colombia and Guatemala, as well as a wet-hulled coffee from Sumatra and a natural-processed coffee from Brazil. Q Burger is a fast-casual burger restaurant in New Taipei, Taiwan. Visit https://www.qburger.com.tw/ for more information.",Medium,Q Burger,"New Taipei City, Taiwan",https://www.coffeereview.com/review/signature-blend/,2,Nutty,1,0,0,1,0,0,1,2,0,1,0,0,3,0,1,1,2,2
1993,Cate Natural G5,95,Exceptional,NT $200/200 grams,9,9,9,9,52/70,"Evaluated as espresso. Bright, sweetly tart, cleanly fruit-forward. Raspberry, chocolate fudge, sandalwood, narcissus, almond butter in aroma and small cup. Full, syrupy mouthfeel, resonant, flavor-saturated finish. In cappuccino scaled milk, this attractive natural-processed coffee reads like trifle dessert: raspberry with dark chocolate. ","Jimma growing region, southern Ethiopia","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.",Medium-Light,Small Eyes Cafe,"Yilan, Taiwan",https://www.coffeereview.com/review/cate-natural-g5/,0,Sweet,0,0,0,2,2,3,1,1,2,1,1,0,0,1,0,0,1,2
1994,Panama Elida Natural Catuai,95,Exceptional,$21.95/12 ounces,9,9,9,9,58/78,"Richly and cleanly fruit-toned, chocolaty. Dried fig, chocolate fudge, molasses, oak, narcissus-like flowers in aroma and cup. Deeply sweet-tart in structure with high-toned, crisp acidity; full, creamy mouthfeel. The resonant flavor-saturated finish centers around fig and chocolate suggestions.","Alto Quiel, Panama","This exceptional coffee was selected as the No. 24 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. Produced by the Lamastus family of Elida Estate entirely of the Catuai variety of Arabica and processed by the natural method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Klatch Coffee is an award-winning small-batch roasting company in the Los Angeles area whose resident barista and trainer, Heather Perry, won both the 2003 and 2007 United States Barista Championships brewing a Klatch Coffee espresso blend. Visit www.klatchroasting.com or call 877-455-2824 for more information. ",Medium-Light,Klatch Coffee,"Los Angeles, California",https://www.coffeereview.com/review/panama-elida-natural-catuai/,0,Sweet,1,0,0,1,0,2,1,0,1,1,2,1,1,1,1,0,2,2
1999,Kenya Kiambu AB Uklili 1903 Lot,94,Very Good to Outstanding,NT$300/8 ounces,8,9,9,9,52/70,"Rich-toned, chocolaty. Dark chocolate, narcissus-like flowers, date, cedar, blood orange zest in aroma and cup. Sweet-toned structure with balanced acidity; plush, creamy mouthfeel. The rich, long finish centers on dark chocolate bordering on fudge and exceptionally sweet florals.","Kiambu growing region, south-central Kenya","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Imported for the Taiwan market by Pebble Coffee. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/kenya-kiambu-ab-uklili-1903-lot/,0,Floral,1,0,1,1,0,0,1,0,1,1,2,3,0,0,1,0,0,2
2001,Sumatra Raja Harimau Lintong Espresso,96,Exceptional,NT $275/8 ounces,8,9,9,10,44/61,"Evaluated as espresso. Ultra-rich, chocolaty, deep musky resonance. Perique pipe tobacco, salted chocolate fudge, candied fig, pink grapefruit zest, lavender, fresh earth after a rain in aroma and small cup. Thick, velvety mouthfeel. The short finish consolidates around rich tobacco and cocoa with delicate floral hints and earthy depth in the long. Deeply sweet and satisfying in three parts milk; flavor saturates the milk with impressive continuity and vivacity. ","Lintong growing region, northern Sumatra, Indonesia",Coffees like this one from the northern part of the Indonesian island of Sumatra are valued for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet hulling.” Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,Medium,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/sumatra-raja-harimau-lintong-espresso/,0,Fruity,3,0,1,1,0,0,2,0,1,2,3,2,1,0,1,1,0,4
2002,El Salvador Las Mercedes Pacamara Honey,93,Very Good to Outstanding,$16.95/12 ounces,8,9,9,9,60/82,"Richly sweet-savory. Pomegranate, fine musk, nougat, cedar, a hint of marjoram in aroma and cup. Savory-sweet structure with round, gentle acidity; full, satiny-smooth mouthfeel. Finish consolidates to nougat and pomegranate in the short with musk returning in the long. ","Cerro El Tigre, El Salvador","Produced by Lucia Abregado De Ortiz of Finca Las Mercedes entirely of the admired, big-beaned Pacamara variety of Arabica and processed by the honey method. With all honey processing methods, some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. Klatch Coffee is an award-winning small-batch roasting company in the Los Angeles area whose resident barista and trainer, Heather Perry, won both the 2003 and 2007 United States Barista Championships brewing a Klatch Coffee espresso blend. Visit www.klatchroasting.com or call 877-455-2824 for more information. ",Light,Klatch Coffee,Los Angeles,https://www.coffeereview.com/review/el-salvador-las-mercedes-pacamara-honey-2/,0,Herbal,1,1,0,1,0,0,1,0,0,2,0,0,1,1,1,2,0,3
2020,Twenty Five,96,Exceptional,$14.45/12 ounces,9,9,9,9,50/74,"Evaluated as espresso. Luminous, complexly layered, impossibly rich. Caramelized pineapple, tamarind, star jasmine, chocolate fudge, myrrh in aroma and small cup. Creamy, vivacious mouthfeel; long, flavor-saturated finish. Close to otherworldly in three parts milk: All the notes from the cup harmonize, and new notes surface: suggestions of lychee, pink grapefruit zest, marjoram.",Ethiopia; Papua New Guinea; Guatemala,"This exceptional espresso blend was selected as the No. 6 coffee on Coffee Review’s list of the Top 30 Coffees of 2018.  This blend was designed to celebrate Barrington Coffee’s 25th anniversary as an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",Medium-Light,Barrington Coffee Roasting,"Lee, Massachusetts",https://www.coffeereview.com/review/twenty-five/,0,Fruity,2,2,1,0,0,0,2,0,2,1,1,1,0,2,0,0,2,3
2056,David Mburu Kenya,96,Exceptional,$15.00/250 grams,9,9,9,10,58/84,"Deep, complex, richly sweet-savory. Vanilla orchid, toasted coconut, fine musk, dried fig, dark caramel in aroma and cup. Elegant, savory-leaning structure with bright, juicy acidity; plush, velvety mouthfeel. The resonant, flavor-laden finish is centered around floral-toned fruit, with supporting notes of dark caramel and fine musk.","Kiambu County, south-central Kenya","Produced by David Mburu Mwangi at his farm in Kenya’s Kiambu East District from trees of the Ruiru 11, SL28 and SL34 varieties of Arabica. Despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Coava is a Portland-based coffee roaster, now with a San Diego location as well, that aims to provide quality coffee and education regarding the preparation of good coffee. Visit www.coavacoffee.com or call 503-894-8134 for more information.",Light,Coava Coffee Roasters,"Portland, Oregon",https://www.coffeereview.com/review/david-mburu-kenya/,0,Fruity,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,2
2057,Haraz Special Red Yemen,92,Very Good to Outstanding,$27.50/8 ounces,8,9,8,9,62/84,"Engaging, richly sweet-savory. Caramelized fig, earthy pipe tobacco, aged rum, hibiscus, cinnamon in aroma and cup. Sweetly tart structure; velvety-smooth mouthfeel. The long finish consolidates to cinnamon and caramelized fig, with a hint of aged rum.","Haraz growing region, north-central Yemen","Haraz (also Haraaz, other spellings) is a celebrated coffee growing region in north-central Yemen, west of the capital of Sana’a. Although Ethiopia is the botanical home of Coffea Arabica, Yemen introduced the beverage to the rest of the world in the 16th and 17th centuries, and Yemeni coffee is still grown from ancient heirloom cultivars of arabica on stone-walled terraces ringing fortress-like mountaintop villages. All Yemen coffees are natural-processed, or dried in the whole fruit. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.",Light,PT's Coffee Roasting,"Topeka, Kansas",https://www.coffeereview.com/review/haraz-special-red-yemen/,2,Fruity,2,0,0,1,0,2,1,0,0,1,0,1,1,0,1,1,0,2
2061,Ulos Batak Sumatra,96,Exceptional,$18.95/12 ounces,9,9,9,10,54/76,"Intensely rich, deeply sweet, complex. Chocolate fudge, lavender, grapefruit zest, moist perique-style tobacco, coconut-covered date in aroma and cup. Balanced, sweetly savory in structure with lively acidity; buoyant, syrupy mouthfeel. The flavor-laden finish offers chocolate-toned spicy florals in the short resolving to rich date notes with undertones of perique tobacco in the long.","Northern Sumatra, Indonesia",Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet hulling.” This is a splendid example of the potential of the type. Ulos Batak is the name applied by the cooperative exporter Klasik Beans to a premium grade of its small-producer wet-hulled coffee from the Lintong region south of Lake Toba. Lintong is one of the longest-established growing regions in Sumatra and probably the most admired. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/ulos-batak-sumatra-3/,0,Floral,2,1,1,0,0,2,1,1,0,1,1,3,0,1,2,0,1,2
2073,Panama Auromar Estate Geisha Peaberry,95,Exceptional,$51.00/8 ounces,8,10,9,9,53/81,"Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisp, velvety mouthfeel. The deep, flavor-saturated finish leads with caramel-toned apricot in the short, with rich florals resurfacing in the long. ","Piedra Candela, Chiriqui Province, far western Panama","Regrettably, this fine coffee sold out before the publication of our review. Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. This sample also consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title from Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",Medium-Light,Bird Rock Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/panama-auromar-estate-geisha-peaberry/,0,Floral,1,0,0,0,0,1,2,0,0,1,0,3,2,1,2,1,2,3
2085,Honduras David Mancia,90,Very Good to Outstanding,$15.00/250 grams,8,8,8,8,58/84,"High-toned, crisply sweet. Roasted cacao nib, apricot, freesia, oak, toffee in aroma and cup. Sweet-toned in structure with brisk, juicy acidty; silky mouthfeel. The finish centers around cocoa-toned stone fruit with hints of spicy floral notes.","Santa Barbara Department, Honduras","Produced from trees of the Pacas and Catimor varieties of Arabica on the two-hectare farm of David Mancia in the Honduran village of El Cielito at an elevation of over 5,000 feet. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Coava is a Portland-based coffee roaster, now with a San Diego location as well, that aims to provide quality coffee and education regarding the preparation of good coffee. Visit www.coavacoffee.com or call 503-894-8134 for more information.",Light,Coava Coffee Roasters,"Portland, Oregon",https://www.coffeereview.com/review/honduras-david-mancia-2/,1,Chocolaty,1,0,0,1,0,0,1,0,0,1,2,1,4,0,1,2,2,2
2087,Rwanda Remera Kabeza,93,Very Good to Outstanding,$16.95/12 ounces,8,8,9,9,50/67,"Roundly and sweetly citrusy. Ripe tangerine, caramel, freesia-like flowers, cedar, a hint perhaps of fresh parsley-like herb in aroma and cup. Sweetly and gently tart, pure and juicy in structure. Very smooth, fullish, satiny mouthfeel. Flavor consolidates in a layered, resonant finish. ","Gikongoro Prefecture, south-central Rwanda","Produced from locally naturalized cultivars of the heirloom Bourbon variety of Arabica and processed at the now famous Bufcafe mills. Epiphanie Mukashyaka established the first Bufcafe washing station or wet mill following the Rwandan genocide and the loss of most of her family. She and her son now operate two wet mills and a dry mill in the area. Processed by the conventional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. A wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying using a particularly complex dry-ferment, wash and soak procedure popular in Rwanda. Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.",Medium,Durango Coffee Company,"Durango, Colorado",https://www.coffeereview.com/review/rwanda-remera-kabeza/,0,Citrusy,1,0,3,1,0,1,1,0,0,2,0,1,2,1,0,3,0,3
2094,Costa Coast Blend,92,Very Good to Outstanding,$21.00/16 ounces,8,8,9,9,52/78,"Floral-toned, crisp, deeply sweet. Dried strawberry, freesia, toffee, hazelnut butter, fresh-cut cedar in aroma and cup. Sweet-toned structure; syrupy, almost creamy body. Notes of freesia-like flowers and hazelnut butter dominate in the short finish, while sweetly wood-framed toffee tones carry the long.",Costa Rica; Ethiopia,"Certified USDA organic. A blend of two coffees from Costa Rica and Ethiopia. This coffee tied for the third-highest rating in a cupping of blends for Coffee Review‘s February 2018 tasting report. Roast House is a small-batch, quality-focused roaster specializing in farm-direct organic-certified and Fair Trade certified coffees. Visit roasthousecoffee.com or call 509-995-6500 for more information.",Medium-Light,Roast House,"Spokane, Washington",https://www.coffeereview.com/review/costa-coast-blend/,0,Woody,0,0,0,2,2,2,1,2,2,1,0,2,1,0,0,0,1,2
2097,Peru Finca Ecológica Agua Colorada,93,Very Good to Outstanding,$16.49/12 ounces,8,9,8,9,58/84,"Richly sweet, floral-toned. Wisteria, roasted cacao nib, almond, caramel, hint of musk in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisply velvety mouthfeel. The finish consolidates to a pretty cocoa-toned musk in the short, with almond and caramel resurfacing in the long.","Cajamarca, Peru","This exceptional coffee was selected as the No. 30 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Produced by Gilmer Córdova at Agua Colorado farm from trees of the Red and Yellow Caturra varieties of Arabica. This coffee won sixth place at the 2017 Peru Cup of Excellence. Processed by the conventional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",Light,Red Rooster Coffee Roaster,"Floyd, Virginia",https://www.coffeereview.com/review/peru-finca-ecologica-agua-colorada/,2,Herbal,1,0,0,0,0,1,1,1,0,2,2,1,3,0,1,1,2,3
2105,Firebird Espresso,93,Very Good to Outstanding,$14.00/12 ounces,8,8,9,9,51/75,"Evaluated as espresso. Richly sweet-tart. Dark chocolate, narcissus, candied blood orange zest, almond butter, cedar in aroma and small cup. Full, syrupy body; citrus- and cedar-toned finish. In three parts milk, notes of dark chocolate pleasin",Brazil; Costa Rica,"Founded in August 2016, Charlotte Coffee Company donates 10 percent of proceeds from all retail sales to local non-profits dedicated to ending homelessness and hunger. Visit www.charlottecoffeeco.com for more information.",Medium-Light,Charlotte Coffee Company,"Charlotte, North Carolina",https://www.coffeereview.com/review/firebird-espresso/,0,Sweet,0,0,2,1,0,3,1,1,2,1,1,0,0,0,0,0,0,2
2121,Costa Rica Tarrazu,91,Very Good to Outstanding,$25.00/12 ounces,8,9,8,8,52/76,"Deeply sweet, richly wood-framed. Watermelon candy, sandalwood, narcissus-like flowers, toasted pecan, maple syrup in aroma and cup. Bittersweet structure; crisp, satiny mouthfeel. Aromatic wood leads in the short finish, while notes of watermelon candy (think Jolly Rancher) and sweet florals resurface in the long.","Tarrazu growing region, Costa Rica","Produced by Martin Urena of La Chumeca Farm entirely from trees of the respected Red Catuai variety of Arabica. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Caffè Luxxe is an Italian-inflected artisan roaster and retailer that emphasizes both its coffee knowledge and precision and its straightforward lack of pretension. Visit www.caffeluxxe.com or call 310-394-2222 for more information.",Medium-Light,Caffe Luxxe,"Santa Monica, California",https://www.coffeereview.com/review/costa-rica-tarrazu-4/,2,Floral,1,0,0,2,0,2,1,0,0,1,0,3,1,2,1,1,2,2
2127,Static Indonesia Toarco Sulawesi,91,Very Good to Outstanding,$20.00/12 ounces,7,8,9,9,52/78,"Crisp, sweetly savory. Butterscotch, mesquite, cocoa powder, cooked acorn squash, fine musk in aroma and cup. Sweet-savory in structure with brisk acidity; lightly syrupy mouthfeel. The finish is carried, both short and long, by notes of cocoa and rich aromatic wood.","Toraja growing region, south-central Sulawesi, Indonesia","Toarco (TOraja ARabica COffee) is a coffee project in the famous Sulawesi coffee growing region of Toraja developed and financed by Japan’s Key Coffee Company and its Indonesian partners. Toarco coffees are processed by variants of the orthodox wet or washed method, giving them a brighter and cleaner profile than Sulawesi coffees processed by the locally traditional wet-hulling method. Until recently Toarco sold its entire production to the Japanese market, making this coffee rare in the United States. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.",Medium-Light,Espresso Republic,"Chino, California",https://www.coffeereview.com/review/static-indonesia-toarco-sulawesi/,0,Sweet,0,0,0,1,0,2,1,0,1,1,1,0,1,1,1,1,2,2
2156,Burundi Nemba,93,Very Good to Outstanding,$16.95/12 ounces,8,9,9,9,58/80,"Delicately rich, vibrantly sweet-savory. Wisteria, chocolate fudge, mango, candied lime zest, allspice in aroma and cup. Sweetly tart in structure; full, velvety mouthfeel. The long finish consolidates to notes of wisteria and allspice.","Kayanza, Kabuye, Burundi"," Burundi is a small, landlocked country in the Great Lakes region of Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of local strains of the heirloom Bourbon variety of Arabica, Burundi coffee has an excellent reputation, though it is better known in Europe than in the United States. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. The company name Amavida combines the Spanish words for love and life, reflecting Amavida’s multifaceted commitment to fairness and fine coffee. Visit www.amavida.com or call 850-213-1965 for more information.",Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida",https://www.coffeereview.com/review/burundi-nemba/,0,Candy,1,1,1,0,0,1,2,0,0,1,1,0,1,0,1,1,0,3
2167,Brazil Carmo de Minas Natural,91,Very Good to Outstanding,$15.50/12 ounces,8,8,8,9,55/72," Briskly sweet-tart, fruit-forward. Dark chocolate, maraschino cherry, pipe tobacco, caramel, almond in aroma and cup. Bittersweet instructure with gentle, rounded acidity; full, syrupy mouthfeel. The drying, cocoa-toned finish leads with dark chocolate in the short with maraschino cherry resurfacing in the long. ","Carmo de Minas growing region, northeastern Minas Gerais State, Brazil","This coffee tied for the third-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. Produced entirely from trees of the Yellow Bourbon variety of Arabica by Celso Marcelino de Souza Junior on his small 5-hectare farm. A prize winner in the 2017 Carmo Best Cup competition hosted by importer Cafe Imports. A “natural” or dry-processed coffee, which means the beans or seeds were dried encased in the entire fruit. Naturals form the backbone of the Brazil coffee industry, but this lot reflects a particularly refined approach to the method. Big Creek Coffee Roasters is a small, quality-oriented batch roaster located in Montana’s Bitterroot Valley. Visit www.bigcreekcoffeeroasters.com or call 406-375-7508 for more information.",Medium-Light,Big Creek Coffee Roasters,"Hamilton, Montana",https://www.coffeereview.com/review/brazil-carmo-de-minas-natural/,2,Sweet,1,0,0,0,0,3,1,1,0,1,2,0,1,0,2,1,0,2
2189,Burundi Gahahe Washing Station Microlot Honey,92,Very Good to Outstanding,CAD $16.00/16 ounces,8,9,8,9,55/77,"Crisply sweet-toned. Caramel, fig, oak, narcissus-like flowers, almond in aroma and cup. Balanced, sweet structure with brisk acidity; full, syrupy mouthfeel. The short finish resonates with sweet floral and rich fruit notes, while the long consolidates to almond and oak.","Buhinyuza District, Muyinga Province, Burundi","This coffee tied for the fourth-highest rating in a cupping of coffees from the Great Lakes region of Africa for Coffee Review’s June 2018 tasting report. Processed by the honey method, which means that the outer skin of the coffee fruit is removed, as it is in the wet or “washed” process, but at least some of the sticky fruit residue is allowed to dry on the bean and later removed by machine along with the parchment skin. Benefiting from ideal growing conditions and large plantings of local strains of the heirloom Bourbon variety of Arabica, Burundi has recently emerged as a premier Africa fine coffee origin. Oughtred Coffee &amp; Tea is based in Vancouver, Canada and is the 2018 Roast magazine Roaster of the Year in the macro category. Founded in 1973, this second generation, award-winning coffee roaster is focused on the sustainable procurement and roasting of some of the world's finest coffees. Visit http://oughtred.com/ for more information. Email [email protected] to place an order.",Medium-Light,Oughtred Roasting Works,"Victoria, British Columbia, Canada",https://www.coffeereview.com/review/burundi-gahehe-washing-station-microlot-honey/,2,Fruity,2,0,0,1,0,2,1,1,0,1,0,2,2,0,1,0,2,2
2200,Choice Caramel Dried Prune,91,Very Good to Outstanding,NT $850/16 ounces,8,8,8,9,52/74,"Evaluated as espresso. Richly sweet, caramelly. Orange zest, dark caramel, fir, raisin, freesia in aroma and small cup. Full, satiny mouthfeel; wood-framed, caramel- and fruit-toned finish. In three parts milk, raisin and caramel notes are foregrounded, with spice-toned, freesia-like flowers underneath.",Colombia; Ethiopia; Costa Rica,"This is not an artificially flavored coffee. The blend name, Choice Caramel Dried Prune, refers to natural aroma and flavor notes that the blend aims to evoke. Creation Food Co. is a food service company with a specialty coffee division. It operates one of the few large-scale coffee production facilities in Taiwan. Visit www.creation.com.tw or call 0800-020-368 for more information.",Medium-Light,Creation Food Co.,"Taipei City, Taiwan",https://www.coffeereview.com/review/choice-caramel-dried-prune/,2,Woody,1,0,1,2,0,0,1,0,1,1,0,1,0,1,1,1,0,2
2206,Tano Batak Sumatra,94,Very Good to Outstanding,$18.50/12 ounces,8,9,9,9,58/75,"Rich-toned, deeply and sweetly earthy. Chocolate fudge, white sage, blackberry, perique pipe tobacco, plumeria-like flowers in aroma and cup. Balanced, sweet-savory structure with vibrant, juicy acidity; delicate, satiny mouthfeel. The resonant, flavor-saturated finish displays notes of blackberry and tobacco in the short, plumeria and sage in the long, and deep chocolate throughout. ","Lintong growing region, North Sumatra Province, Indonesia","This coffee was grown by indigenous Batak people, who have been involved in coffee production since the practice was brought to Sumatra by the Dutch in the late 19th century. Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex aromatic wood and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet hulling.” This is a particularly refined example of the type. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/tano-batak-sumatra-5/,0,Delicate,1,0,0,2,1,0,1,0,0,1,1,1,2,2,1,3,1,2
2208,Burundi Nkonge Hill Red Honey,93,Very Good to Outstanding,$15.00/12 ounces,8,9,9,9,47/70,"Sweetly roast-rounded, richly savory. Dark caramel, pipe tobacco, date, almond, hops in aroma and cup. Sweet-savory in structure with rounded acidity; plump, syrupy mouthfeel. The finish leads with notes of date and pipe tobacco in the short, with almond and hops returning in the long. ","Kayanza Province, Burundi","Produced by Ben and Christy Carlson of Long Miles Coffee Project in Burundi, and processed by the red honey method. With all honey processing methods, some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. In the red honey variation, all or almost all of the pulp is allowed to dry on the beans, rather than only a portion of it, as would be the case with yellow honey. Benefiting from ideal growing conditions and large plantings of local strains of the heirloom Bourbon variety of Arabica, Burundi has recently emerged as a premier Africa fine coffee origin. Caffeic is a family-owned, Montana-based roaster with a focus on sourcing and sharing the highest-quality coffees available. Visit www.caffeic.coffee for more information.",Medium,Caffeic,"Helena, Montana",https://www.coffeereview.com/review/burundi-nkonge-hill-red-honey/,0,Fruity,3,0,0,0,0,2,1,1,0,1,0,0,0,0,2,0,0,2
2218,Costa Rica Perla Negra,95,Exceptional,$16.95/12 ounces,9,9,9,9,50/65,"Evaluated as espresso. Deeply rich, crisply sweet, fruit- and chocolate-toned. Dried mango, chocolate fudge, narcissus-like flowers, roasted almond, fresh-cut cedar in aroma and small cup. Lively, silky smooth mouthfeel; resonant, flavor-saturated finish. The chocolate-forward presentation in three parts milk is nuanced by notes of mango and fresh-cut cedar.","Sabanilla de Alajuela growing region, Costa Rica","This exceptional coffee was selected as the No. 14 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. This coffee tied for the highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. Produced by Oscar and Francisca Chacon entirely from trees of the Caturra variety of Arabica; certified organically grown. Processed by the “natural” or dry method, meaning the beans were dried inside the entire fruit rather than after the soft fruit residue has been removed, as is the case with wet-processed or “washed” coffees. Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.",Medium,Durango Coffee Company,"Durango, Colorado",https://www.coffeereview.com/review/costa-rica-perla-negra/,0,Bold,0,1,0,1,0,0,1,1,1,1,1,1,4,1,0,2,3,2
