,desc_sub,review,est_price,name,roaster,roast,loc_country,origin,100g_USD,rating,review_date
700,"Delicate, honey- and cocoa-toned. Pomegranate, coc","Delicate, honey- and cocoa-toned. Pomegranate, cocoa nib, violet, pink grapefruit zest, cashew butter in aroma and cup. Sweet-toned structure with balanced, lively acidity; full, syrupy mouthfeel. The pleasing finish leads with pomegranate and cashew butter with undertones of cocoa nib.",$64.95/4 ounces,Taiwan Geisha Honey,Paradise Roasters,Light,United States,Taiwan,57.28,94,October 2020
701,"Delicately fruit-forward, multi-layered, complex. ","Delicately fruit-forward, multi-layered, complex. Dark chocolate, blackberry jam, macadamia nut, honey, sandalwood in aroma and cup. Sweet-savory structure with winy acidity; very full, syrupy-smooth mouthfeel. Fruit-toned finish with deep, lasting chocolate undertones. ",$85.00/6 ounces,Camilina Geisha,Bird Rock Coffee Roasters,Medium-Light,United States,Panama,49.97,95,October 2020
702,"High-toned, crisply sweet-tart. Pink grapefruit ze","High-toned, crisply sweet-tart. Pink grapefruit zest, cocoa nib, tamarind, amber, grape candy in aroma and cup. Sweet-tart structure with tart-leaning, lively acidity; syrupy-smooth mouthfeel. The flavor-saturated finish resonates with all of the notes from the cup. ",$65.00/8 ounces,Hacienda La Esmeralda Buenos Aires Geisha Natural,PT's Coffee Roasting Co.,Medium-Light,United States,Panama,28.66,95,October 2020
703,"Richly sweet-tart, chocolaty. Tangerine, dark choc","Richly sweet-tart, chocolaty. Tangerine, dark chocolate, almond butter, freesia-like flowers, a hint of marjoram in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel.The finish consolidates to suggestions of chocolate and tangerine.",$22.00/12 ounces,Kenya Kirinyaga Peaberry,Big Shoulders Coffee,Medium-Light,United States,Kenya,6.47,93,October 2020
704,"Sweetly pungent, complex. Apricot, cocoa nib, narc","Sweetly pungent, complex. Apricot, cocoa nib, narcissus, cedar, almond butter in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, syrupy mouthfeel. The cocoa-driven finish is supported by notes of dried stone fruit and spicy-sweet florals.",$29.00/8 ounces,Ethiopia Sidama Bona Washed G1,Singsun Coffee,Medium-Light,Taiwan,Ethiopia,12.79,94,October 2020
705,"Chocolaty and fruit-centered. Dark chocolate, blue","Chocolaty and fruit-centered. Dark chocolate, blueberry, jasmine, lemongrass, a hint of brandy in aroma and cup. Sweet-toned structure with gentle, round acidity; syrupy-smooth mouthfeel. Chocolate and flowers, in particular, carry into a resonant finish.",$31.00/8 ounces,Ethiopia Sidama Bona Sweet Natural G1,Singsun Coffee,Medium-Light,Taiwan,Ethiopia,13.67,93,October 2020
706,"Delicate, rich, multi-layered. Lilac, honey, plum,","Delicate, rich, multi-layered. Lilac, honey, plum, sandalwood, hazelnut in aroma and cup. Gently bright, crisp acidity; silky, buoyant mouthfeel. The finish consolidates to resonant lilac and plum notes with sandalwood undertones. ",$25.00/12 ounces,Sidama Extreme Papilio Washed,Pro Aroma Enterprise Coffee,Medium-Light,Taiwan,Ethiopia,7.35,94,October 2020
707,"Berry-driven, chocolaty. Blueberry, lemon zest, ba","Berry-driven, chocolaty. Blueberry, lemon zest, baking chocolate, cedar, a hint of fine musk in aroma and cup. Sweet-savory structure with quietly resonant acidity; syrupy, gently lively mouthfeel. Flavor consolidates to blueberry and cedar in the short finish but both linger far into the long.",$25.00/12 ounces,Sidama Extreme Papilio Natural,Pro Aroma Enterprise Coffee,Medium-Light,Taiwan,Ethiopia,7.35,93,October 2020
708,"Richly sweet, nuanced, multi-layered. Apricot, sta","Richly sweet, nuanced, multi-layered. Apricot, star jasmine, cocoa nib, cashew, oak in aroma and cup. Sweet-savory structure with delicate acidity; full, lightly syrupy mouthfeel. Rich, long, cocoa-toned finish.",$13.00/12 ounces,Finca San Carlos,El Gran Café,Medium-Light,Guatemala,Guatemala,3.82,94,October 2020
709,"Crisply sweet, quietly resonant. Wisteria, apricot","Crisply sweet, quietly resonant. Wisteria, apricot, pistachio, molasses, oak in aroma and cup. Sweetly tart, savory-edged structure with round acidity; full, syrupy mouthfeel. The persistent finish consolidates to notes of molasses and pistachio.",$16.50/12 ounces,Finca El Pintado,El Gran Café,Medium-Light,Guatemala,Guatemala,4.85,93,October 2020
710,"Crisply sweet, high-toned, straightforward. Cocoa ","Crisply sweet, high-toned, straightforward. Cocoa powder, lime zest, fresh-cut fir, freesia-like flowers, walnut in aroma and cup. Quietly tart structure with round, gently brisk acidity; lightly satiny mouthfeel. The rich-toned finish consolidates to notes of cocoa powder and walnut with hints of flowers.",$16.50/12 ounces,La Esperanza Villa Sarchi,El Gran Café,Medium,Guatemala,Guatemala,4.85,92,October 2020
711,"Crisply sweet-tart, balanced. Plum, cocoa nib, alm","Crisply sweet-tart, balanced. Plum, cocoa nib, almond, violet, elm in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. Gently drying, cocoa- and nut-toned finish with elm undertones.",$16.50/12 ounces,La Esperanza Borbón,El Gran Café,Medium-Light,Guatemala,Guatemala,4.85,90,October 2020
712,"Crisply sweet, balanced. Cocoa nib, almond, red gr","Crisply sweet, balanced. Cocoa nib, almond, red grape, cedar, a hint of magnolia in aroma and cup. Sweet structure with pert acidity; satiny-smooth mouthfeel. The gently drying finish centers around sweet nut and red grape notes with cedar undertones.",$10.00/12 ounces,The Aurora Project,El Gran Café,Medium-Light,Guatemala,Guatemala,2.94,89,October 2020
713,"Sweetly nut- and cocoa-toned. Hazelnut, cocoa powd","Sweetly nut- and cocoa-toned. Hazelnut, cocoa powder, magnolia, cedar, golden raisin in aroma and cup. Sweet structure with brisk acidity; velvety mouthfeel. The nut-toned finish is supported by hints of cocoa powder and cedar. ",$5.00/12 ounces,5a Sur,El Gran Café,Medium,Guatemala,Guatemala,1.47,86,October 2020
714,"Chocolaty, sweetly smoky. Dark chocolate, scorched","Chocolaty, sweetly smoky. Dark chocolate, scorched mesquite, lily, raisin, hazelnut in aroma and cup. Bittersweet structure with gentle acidity; crisp, light mouthfeel. Bittersweet finish with notes of chocolate and scorched mesquite.",$5.00/12 ounces,5a Poniente,El Gran Café,Medium-Dark,Guatemala,Guatemala,1.47,86,October 2020
715,"Luminous, clear, confident, lively. Passion fruit,","Luminous, clear, confident, lively. Passion fruit, cocoa nib, lilac, almond butter, lemon drop in aroma and cup. Sweet-tart structure with elegantly balanced, intense acidity; viscous, syrupy mouthfeel. Resonant, flavor-saturated finish that carries all the aroma and flavor notes of the cup well into the long.",NT $400/8 ounces,Ethiopia Natural Guji D Minor Special Lot,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,5.66,97,October 2020
716,"Deeply rich, sweetly spice-toned. Cinnamon, nutmeg","Deeply rich, sweetly spice-toned. Cinnamon, nutmeg, pear, honey, lavender in aroma and cup. Sweet-tart structure with lively, juicy acidity; silky, buoyant mouthfeel. The finish is spice-toned and rich.",$29.99/10 ounces,Costa Rica Cordillera del Fuego,Peach Coffee Roasters,Medium-Light,United States,Costa Rica,10.58,94,October 2020
717,"Complexly fruit-toned, chocolaty. Dried blueberry,","Complexly fruit-toned, chocolaty. Dried blueberry, watermelon candy, chocolate fudge, almond, sandalwood in aroma and cup. Sweet-tart structure with winy acidity; full, syrupy mouthfeel. The rich-toned finish consolidates to blueberry, chocolate fudge, and sandalwood.",$25.00/12 ounces,Ethiopia Bombe Mountains,modcup coffee,Medium-Light,United States,Ethiopia,7.35,94,October 2020
718,"Delicately sweet, berry-toned. Strawberry coulis, ","Delicately sweet, berry-toned. Strawberry coulis, cocoa nib, freesia-like flowers, hazelnut, cedar in aroma and cup. Sweet structure with brisk acidity; crisp, satiny mouthfeel. Cocoa-toned finish with quiet strawberry notes carrying into the long.",$18.00/12 ounces,Ethiopia Guji 1 Natural Hambela Lot 215,SkyTop Coffee,Medium-Light,United States,Ethiopia,5.29,93,October 2020
719,"Chocolaty, richly sweet. Dark chocolate, date, haz","Chocolaty, richly sweet. Dark chocolate, date, hazelnut, cedar, agave syrup in aroma and cup. Sweet-toned structure with vibrant acidity; satiny-smooth mouthfeel. The finish centers around notes of dark chocolate and hazelnut with cedar undertones.",$23.50/12 ounces,Kenya Giakanja,Temple Coffee Roasters,Medium-Light,United States,Kenya,6.91,92,October 2020
720,"Fruit-forward, richly sweet. Berry melange (bluebe","Fruit-forward, richly sweet. Berry melange (blueberry, raspberry, blackberry), chocolate fudge, sandalwood, molasses, narcissus-like flowers in aroma and cup. Sweet-toned structure with juicy acidity; creamy, viscous mouthfeel. The resonant finish centers around notes of chocolate fudge and blueberry.",$16.95/12 ounces,Ethiopia Yirgacheffe G1 Natural Asfaw Maru,RamsHead Coffee Roasters,Medium-Light,United States,Ethiopia,4.98,94,October 2020
721,"Crisply fruit-toned, richly sweet-savory. Grape ca","Crisply fruit-toned, richly sweet-savory. Grape candy, sassafras, almond, gardenia, agave syrup in aroma and cup. Bittersweet structure with gentle, round acidity; velvety mouthfeel. The sweet-savory finish is characterized by notes of grape candy, sassafras and almond.",$22.95/12 ounces,Costa Rica Termico,RamsHead Coffee Roasters,Medium-Light,United States,Costa Rica,6.75,92,October 2020
722,"Delicate, tropical, fruity and floral. Strawberry ","Delicate, tropical, fruity and floral. Strawberry guava, bergamot, cocoa nib, sandalwood, plumeria in aroma and cup. Sweet-toned structure with juicy, vibrant acidity; silky, buoyant mouthfeel. Resonant, flavor-saturated, very long finish.",$19.95/4 ounces,Coffea Diversa Rume Sudan Winey,Paradise Roasters,Light,United States,Guatemala,17.59,95,October 2020
723,"Fruit- and honey-toned, richly sweet-tart. Lychee,","Fruit- and honey-toned, richly sweet-tart. Lychee, tamarind, cocoa nib, hop flowers, almond brittle in aroma and cup. Sweetly tart structure with bright, juicy acidity; viscous, syrupy mouthfeel. Fruit-forward finish with honey and cocoa undertones.",$19.95/4 ounces,Hawai’i Puna Anaerobic Washed,Paradise Roasters,Medium-Light,United States,Hawai'I,17.59,94,October 2020
724,"Richly sweet-tart, floral-toned. Narcissus, cocoa ","Richly sweet-tart, floral-toned. Narcissus, cocoa nib, apricot, almond nougat, fresh-cut cedar in aroma and cup. Sweetly tart structure with bright, juicy acidity; full, syrupy-smooth mouthfeel. The finish consolidates to notes of almond nougat and narcissus with cocoa nib undertones.",US $20.00/12 ounces,Colombia Hacienda Casablanca,Stereo Coffee Roasters,Medium-Light,Canada,Colombia,5.88,94,October 2020
725,"Delicate, sweetly fruit-toned, complex. Dried pers","Delicate, sweetly fruit-toned, complex. Dried persimmon, nougat, lilac, dark chocolate, a hint of spearmint in aroma and cup. Sweetly tart structure with wine-like acidity; satiny, viscous mouthfeel. The chocolaty finish is supported by notes of persimmon and nougat.",NT $275/8 ounces,Ethiopia Natural Guji Kercha Lot Riverside,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.89,94,October 2020
726,"Cleanly fruit-forward, high-toned. Strawberry guav","Cleanly fruit-forward, high-toned. Strawberry guava, lemon verbena, cocoa nib, freesia, myrrh in aroma and cup. Sweet-tart structure with bright, juicy acidity; viscous, syrupy mouthfeel. Resonant, fruit-driven finish with notes of strawberry guava, lemon verbena and cocoa nib far into the long.",$17.90/12 ounces,San Diego Natural,JBC Coffee Roasters,Medium-Light,United States,Costa Rica,5.26,95,October 2020
727,"Floral, bright, citrusy, balanced. Star jasmine, c","Floral, bright, citrusy, balanced. Star jasmine, cocoa nib, tangerine zest, caramel, cedar in aroma and cup. Balanced, sweetly tart structure with lively acidity; delicate, silky mouthfeel. The finish centers around jasmine-like floral notes.",$18.75/12 ounces,Buna Boka #1,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,94,October 2020
728,"Big, bright, juicy, balanced. Sticky rice, lychee,","Big, bright, juicy, balanced. Sticky rice, lychee, hazelnut, cocoa nib, narcissus in aroma and cup. Richly sweet structure with vibrant, tangy acidity; very syrupy mouthfeel. The flavor-laden finish leads with lychee and hazelnut with undertones of cocoa nib.",$28.00/8 ounces,El Jardin,JBC Coffee Roasters,Medium-Light,United States,Colombia,12.35,94,October 2020
729,"Sweetly herbaceous, citrusy. Marjoram, lemon verbe","Sweetly herbaceous, citrusy. Marjoram, lemon verbena, cocoa nib, freesia, maple syrup in aroma and cup. Sweet-savory structure with crisp, winey acidity; satiny mouthfeel. The finish leads with sweet herb notes supported by cocoa nib.",$22.00/12 ounces,Ethiopia Shantawene,Jaunt Coffee Roasters,Light,United States,Ethiopia,6.47,92,October 2020
730,"Crisply sweet, nut-toned. Almond brittle, tart pie","Crisply sweet, nut-toned. Almond brittle, tart pie cherry, magnolia, baking chocolate, oak in aroma and cup. Sweet structure with pert acidity; satiny-smooth mouthfeel. The finish consolidates to baking chocolate, pie cherry and oak.",$20.00/12 ounces,Monte Alban,JBC Coffee Roasters,Medium-Light,United States,Mexico,5.88,92,October 2020
731,"Rich-toned, bittersweet. Tamarind candy, hop flowe","Rich-toned, bittersweet. Tamarind candy, hop flowers, fir, mustard seed, grape leaves in aroma and cup. Savory-sweet structure with brisk acidity; full, velvety mouthfeel. Richly drying finish with suggestions of tamarind and mustard seed.",$23.00/12 ounces,Colombia Antioqiua,Jaunt Coffee Roasters,Medium-Light,United States,Colombia,6.76,91,October 2020
732,"Sweetly tart, delicately fermenty. Notes suggestin","Sweetly tart, delicately fermenty. Notes suggesting Jolly Rancher, chocolate fudge, rum barrel, baking spices, sandalwood in aroma and cup. Sweet structure with gentle, round acidity; velvety mouthfeel. Sweetly fermenty finish with crisp chocolate fudge notes throughout.",$32.00/8 ounces,Colombia Tolima,Jaunt Coffee Roasters,Medium-Light,United States,Colombia,14.11,90,October 2020
733,"Sweetly spice-toned, chocolaty. Intense freesia-li","Sweetly spice-toned, chocolaty. Intense freesia-like flowers, dark chocolate, Concord grape, roasted macadamia nut, tangerine zest in aroma and cup. Sweetly rich tart structure with juicy acidity; lightly syrupy mouthfeel. Freesia and Concord grape notes ring on into the long finish. ",$22.00/12 ounces,Kenya Wachuri,Equator Coffees,Medium,United States,Kenya,6.47,95,October 2020
734,"Crisply sweet, richly savory, floral-toned. Peach,","Crisply sweet, richly savory, floral-toned. Peach, lilac, ripe sungold cherry tomato, almond brittle, frankincense in aroma and cup. Sweet-umami structure with jazzy acidity; very syrupy-smooth mouthfeel. The flavor-saturated finish carries over the promise of all the flavor notes from the cup. ",$17.00/12 ounces,Kenya Baragwi Guama AB,Flight Coffee Co.,Medium-Light,United States,Kenya,5.0,95,October 2020
735,"Berry-driven, sweetly herb-toned. Black currant, c","Berry-driven, sweetly herb-toned. Black currant, cocoa nib, thyme, lavender, oak in aroma and cup. Sweet-toned structure with bright acidity; satiny, buoyant mouthfeel. Rich, long-lasting, berry-toned finish.",NT $380/115 grams,Kenya ARES,Coffee Please,Medium-Light,Taiwan,Kenya,10.57,95,October 2020
736,"Complex, nuanced, multi-layered. Red currant, cinn","Complex, nuanced, multi-layered. Red currant, cinnamon, lavender, marjoram, wild honey in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; very syrupy mouthfeel. Resonant finish; fruit and floral notes carry forward and cocoa emerges.",NT $550/225 grams,Empress Kenya,DoDo Kaffa,Medium-Light,Taiwan,Kenya,7.82,95,October 2020
737,"Complex, nuanced, multi-layered. Black currant, fr","Complex, nuanced, multi-layered. Black currant, freesia-like flowers, honey, Nutella, cedar in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; syrupy-smooth mouthfeel. The resonant finish leads with currant and freesia notes in the short, rounding to Nutella and cedar in the long.",NT $450/227 grams,Kenya Kiambu AB Top Lot,Evie's Cafe,Medium-Light,Taiwan,Kenya,6.34,94,October 2020
738,Sweetly floral and delicately cocoa-toned. Honeysu,"Sweetly floral and delicately cocoa-toned. Honeysuckle, cocoa nib, Concord grape, agave, lemon-thyme in aroma and cup. High-toned structure with juicy, confident acidity; buoyant, lively, viscous mouthfeel. Honeysuckle and cocoa nib characterize the sweet finish.",NT $325/8 ounces,Kenya Kiambu Maua Lot AB,Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.6,94,October 2020
739,"Balanced, richly sweet-savory, deeply pungent. Rip","Balanced, richly sweet-savory, deeply pungent. Ripe tomato, black currant, almond brittle, jasmine, oak in aroma and cup. Sweet-savory structure with vibrant, juicy acidity; full, satiny, nectar-like mouthfeel. The resonant finish leads with notes of black currant, ripe tomato and almond brittle.",$21.95/12 ounces,Kenya Thunguri AA,Klatch Coffee,Medium-Light,United States,Kenya,6.45,94,October 2020
740,"Attractively tart, bright, complexly layered. Red ","Attractively tart, bright, complexly layered. Red currant, petrichor (a post-rain earthy note), wisteria, lemongrass, elm in aroma and cup. Sweet-tart structure with bright, juicy acidity; delicate, silky mouthfeel. The finish centers on notes of red currant and lemongrass; a pleasing coconut note surfaces in the long. ",CAD $22.00/225 grams,Kenya Kirinyaga Kabare Karani AA,Pop Coffee Works,Medium-Light,Canada,Kenya,7.33,94,October 2020
741,"Sweetly herb-suffused, fruit-driven, hints of fres","Sweetly herb-suffused, fruit-driven, hints of fresh earth. Lemon-thyme, mulberry, grapefruit zest, petrichor (a post-rain earthy note), myrrh in aroma and cup. Sweet-savory structure with bright acidity; syrupy-smooth mouthfeel. Savory-leaning, rich-toned finish.  ",NT $500/200 grams,Kenya Kirinyaga Kii,Small Eyes Cafe,Medium-Light,Taiwan,Kenya,8.0,94,October 2020
742,"Deep, compelling, satisfying. Black currant, dark ","Deep, compelling, satisfying. Black currant, dark chocolate, blood orange zest, lavender, coconut in aroma and cup. Sweet in structure with richly rounded acidity; plump, syrupy mouthfeel. Coconut and lavender notes resonate into the long finish. ",$23.00/12 ounces,Kenya Rungeto,Steady State Roasting,Medium-Light,United States,Kenya,6.76,94,October 2020
743,"Deep-toned, richly aromatic, complex. Black curran","Deep-toned, richly aromatic, complex. Black currant, honeysuckle, tamarind, dark chocolate, sandalwood in aroma and cup. Sweet-tart structure with juicy, sparkling acidity; plush, syrupy-smooth mouthfeel. The flavor-saturated finish consolidates to notes of blackcurrant and dark chocolate with hints of sandalwood. ",$12.00/8 ounces,Kenya AA Top Gatomboya,States Coffee,Medium-Light,United States,Kenya,5.29,94,October 2020
744,"Complex, intricate, deeply sweet. Star jasmine, co","Complex, intricate, deeply sweet. Star jasmine, cocoa nib, nectarine, frankincense, spearmint in aroma and cup. Bright, juicy acidity; plush, velvety mouthfeel. Resonant, flavor-saturated finish leads with notes of star jasmine and nectarine, balanced by suggestions of crisp cocoa.",$20.00/12 ounces,Ethiopia Banko Gotiti,Bird Rock Coffee Roasters,Medium-Light,United States,Ethiopia,5.88,94,October 2020
745,"Crisp, delicate, richly high-toned. Apricot, cocoa","Crisp, delicate, richly high-toned. Apricot, cocoa nib, honeysuckle, sandalwood, agave syrup in aroma and cup. Sweet-toned structure with lively acidity; full, syrupy-smooth mouthfeel. Cocoa-toned apricot and honeysuckle enliven the quiet finish.",$20.00/12 ounces,Ethiopia Yabitu Koba,Amavida Coffee Roasters,Medium-Light,United States,Ethiopia,5.88,94,October 2020
746,"Delicate, spice-toned, richly aromatic. Narcissus-","Delicate, spice-toned, richly aromatic. Narcissus-like flowers, cocoa nib, peach, lemon verbena, a hint of eucalyptus wood in aroma and cup. High-toned, vibrant acidity; full, syrupy mouthfeel. The deep, cocoa-toned finish centers around notes of narcissus and peach.",$19.50/12 ounces,Ethiopia Banko Gotiti,PT's Coffee Roasting Co.,Medium-Light,United States,Ethiopia,5.73,94,October 2020
747,"Delicately fruit-toned, floral. Strawberry, narcis","Delicately fruit-toned, floral. Strawberry, narcissus, lemon verbena, cocoa nib, cedar in aroma and cup. Sweet structure with gentle, round acidity; full, syrupy mouthfeel. The richly sweet finish consolidates to cocoa-toned narcissus and strawberry.",$20.00/12 ounces,Ethiopia Chelbessa Danche,Amavida Coffee Roasters,Light,United States,Ethiopia,5.88,93,October 2020
748,"Balanced, complex, rich-toned. Cocoa nib, pluot, t","Balanced, complex, rich-toned. Cocoa nib, pluot, tangerine zest, star jasmine, lemon verbena in aroma and cup. Deeply sweet, high-toned structure with juicy, vibrant acidity; plush, syrupy mouthfeel. The long, resonant finish maintains the multi-layered notes from the cup.",$62.95/8 ounces,Laura’s Reserve SL34,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,27.76,95,October 2020
749,"Chocolaty, smoke-toned, sweetly savory. Dark choco","Chocolaty, smoke-toned, sweetly savory. Dark chocolate, scorched mesquite, vanillin, gardenia, prune in aroma and cup. Sweet-savory structure with very little acidity; light-bodied, smooth mouthfeel. Wood-framed finish with hints of smoky chocolate.",$25.00/8 ounces,CBD Coffee Dark Roast,Rooster Roastery,Medium-Dark,Hawai'i,Hawai'I,11.02,84,October 2020
750,"Sweetly spice-toned. Cinnamon, cocoa powder, plum,","Sweetly spice-toned. Cinnamon, cocoa powder, plum, ginger blossom, narcissus in aroma and cup. Richly sweet structure with round acidity; full, satiny mouthfeel. The spice-toned finish centers on cinnamon and gingerbread suggestions.",$24.95/4 ounces,Kona Pumpkin Spice Anaerobic,Paradise Roasters,Medium-Light,United States,Hawai'I,22.0,93,September 2020
751,"Richly sweet, deeply aromatic, floral-toned. Plum,","Richly sweet, deeply aromatic, floral-toned. Plum, Meyer lemon zest, tea rose, sandalwood, maple syrup in aroma and cup. Balanced, sweetly tart structure; smooth, syrupy mouthfeel. Notes of tea rose and sandalwood permeate the rich finish.",$20.50/12 ounces,Ethiopia Reko Yirgacheffe,Temple Coffee Roasters,Medium-Light,United States,Ethiopia,6.03,94,September 2020
752,"High-toned, crisply sweet-tart. Concord grape, rho","High-toned, crisply sweet-tart. Concord grape, rhododendron, cocoa nib, sandalwood, maple syrup in aroma and cup. Brightly sweet structure with tart, juicy acidity; very plush, syrupy mouthfeel. The resonant finish consolidates to notes of cocoa nib and maple syrup with undertones of Concord grape.",$16.00/12 ounces,Colombia Asobombo Inza,Flight Coffee Co.,Light,United States,Colombia,4.7,94,September 2020
753,"Evaluated as espresso. Bright, juicy, sweetly tart","Evaluated as espresso. Bright, juicy, sweetly tart. Pomegranate, hazelnut, cedar, freesia-like flowers, molasses in aroma and small cup. Syrupy-smooth mouthfeel; crisp, gently drying finish. Rounder and more nut-toned in three parts milk.",NT $550/230 grams,Ethiopia Sidamo Natural Twakok G1,Bona Kafo Roastery,Medium-Light,Taiwan,Ethiopia,7.65,94,September 2020
754,"Sweetly floral and spice-toned, delicate. Lilac, m","Sweetly floral and spice-toned, delicate. Lilac, myrrh, cocoa nib, pink peppercorn, honey in aroma and cup. Balanced, sweetly tart structure with delicately vibrant acidity; very full, syrupy mouthfeel. Cocoa- and floral-toned finish.",NT $2500/100 grams,Panama Boquete Torre Lot #1 Geisha Honey,Bona Kafo Roastery,Light,Taiwan,Panama,80.0,94,September 2020
755,"Delicate, citrusy and nut-toned. Orange zest, almo","Delicate, citrusy and nut-toned. Orange zest, almond, magnolia, date, baking chocolate in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Nut-framed finish supported by notes of orange zest and baking chocolate.",$12.95/6 ounces,Nicaragua El Poste Pacamara,Paradise Roasters,Medium-Light,United States,Nicaragua,7.61,92,September 2020
756,"Balanced, rich-toned, deeply sweet. Strawberry-gua","Balanced, rich-toned, deeply sweet. Strawberry-guava, cocoa nib, narcissus, almond butter, fresh-cut oak in aroma and cup. Sweet in structure with appealing savory undertones and juicy acidity; very full, syrupy mouthfeel. Finish consolidates to cocoa-toned guava supported by hints of narcissus.",$15.00/4 ounces,Yellow Caturra (special lot),Miranda Farms,Medium-Light,Hawai'i,Hawai'I,13.23,94,September 2020
757,"Bright, sweetly spice-toned. Cinnamon, candy apple","Bright, sweetly spice-toned. Cinnamon, candy apple, grapefruit zest, freesia-like flowers, a hint of fresh yogurt in aroma and cup. Sweet-tart structure with lively, high-toned acidity; crisp, satiny mouthfeel. The finish continues spice-toned and rich.",$16.00/10 ounces,Cordillera del Fuego Costa Rica Termico,Collage Coffee,Medium-Light,United States,Costa Rica,5.64,93,September 2020
758,"Aromatically tropical, deeply floral, mysteriously","Aromatically tropical, deeply floral, mysteriously complex. Plumeria, amber, passion fruit, Concord grape, dark chocolate in aroma and cup. Deep-toned, sweetly savory structure with winy acidity; decadently plush mouthfeel. The finish goes on and on.",$29.95/4 ounces,Hawai’i Kilauea Volcano Yeast Fermentation Washed,Paradise Roasters,Medium-Light,United States,Hawai'I,26.41,96,September 2020
759,Richly and elegantly fruit-toned. Strawberry-guava,"Richly and elegantly fruit-toned. Strawberry-guava, cocoa nib, violet, wild honey, aloe wood in aroma and cup. Vivaciously sweet-tart structure with juicy, balanced acidity; full, creamy mouthfeel. Resonant fruit-forward finish with notes of strawberry-guava, cocoa nib and violet.",$24.95/4 ounces,Kona Pink Honey Black Rock Farm,Paradise Roasters,Medium-Light,United States,Hawai'I,22.0,94,September 2020
760,"Richly chocolaty, deeply fruit-toned. Chocolate fu","Richly chocolaty, deeply fruit-toned. Chocolate fudge, raspberry coulis, sandalwood, lilac in aroma and cup. Sweetly tart structure with juicy acidity; plush, lively mouthfeel. The floral- and fruit-toned finish is supported by chocolate tones throughout.",$19.95/12 ounces,Ethiopia Kayon Mountain,Lexington Coffee Roasters,Medium-Light,United States,Ethiopia,5.86,94,September 2020
761,"Delicately intricate, deeply sweet. Passion fruit,","Delicately intricate, deeply sweet. Passion fruit, jasmine, sandalwood, cocoa nib, tangerine zest in aroma and cup. Juicy, effervescent acidity; silky, confident mouthfeel. The finish is crisply tart with sweet floral and cocoa tones in the short.",$18.75/12 ounces,Benti Nenqa #209 Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,94,September 2020
762,"Deep-toned, richly sweet. Date, magnolia, molasses","Deep-toned, richly sweet. Date, magnolia, molasses, almond, cedar in aroma and cup. Sweet structure with round, gentle acidity; full, syrupy mouthfeel. Finish consolidates to notes of molasses and almond.",$19.50/12 ounces,Andi Sumatra,JBC Coffee Roasters,Medium-Light,United States,Indonesia,5.73,92,September 2020
763,"Crisp, delicately sweet. Nectarine, jasmine, cocoa","Crisp, delicately sweet. Nectarine, jasmine, cocoa nib, almond, oak in aroma and cup. Sweet-toned structure with gentle acidity; full, viscous mouthfeel. The finish centers around notes of nectarine, cocoa nib, and oak.",NT $500/16 ounces,Nicaragua La Huella Catuaí,David's Nose,Light,Taiwan,Nicaragua,3.54,93,September 2020
764,"Richly fruit- and floral-toned. Passion fruit, nar","Richly fruit- and floral-toned. Passion fruit, narcissus, allspice, cocoa nib, tangerine zest in aroma and cup. Sweet-savory structure with juicy, high-toned acidity; lightly syrupy mouthfeel. Richly drying, vermouth-like finish.",NT $500/200 grams,El Salvador Santa Elena Pacamara,GK Coffee,Medium-Light,Taiwan,El Salvador,8.0,94,September 2020
765,"Richly sweet-savory, chocolate-toned. Dark chocola","Richly sweet-savory, chocolate-toned. Dark chocolate, date, pralines, tiger lily, a hint of cumin in aroma and cup. Sweet-savory structure with gentle, round acidity; plump, syrupy mouthfeel. Gently drying finish is chocolaty through and through with undertones of pralines and flowers.",$17.99/12 ounces,Guatemala Carlos Rivas,Kaldi's Coffee,Medium-Light,United States,Guatemala,5.29,93,September 2020
766,"Deep-toned, chocolaty. Dark chocolate, date, hazel","Deep-toned, chocolaty. Dark chocolate, date, hazelnut, agave syrup, pink grapefruit zest in aroma and cup. Sweetly tart structure with pert acidity; delicately smooth mouthfeel. Chocolate- and hazelnut-toned finish.",$18.25/12 ounces,Guatemala Bella Carmona,Highwire Coffee Roasters,Medium-Light,United States,Guatemala,5.36,92,September 2020
