,review
628,chocolaty richly sweet tart deep toned chocolate fudge passion fruit sandalwood lily a hint of cognac in aroma and cup sweetly and opulently tart with generous bright acidity lush viscous mouthfeel sandalwood and chocolate toned finish with undertones of passionfruit into the long
629,sweet toned with a distinct lactic tang dried mango fermenty tangerine fresh yogurt narcissus nutella in aroma and cup savory sweet structure with lactic leaning acidity smooth satiny mouthfeel the long sweet finish consolidates around notes of nutella and tangerine
630,richly fruit and floral toned blueberry gardenia dark chocolate orange zest a hint of thyme in aroma and cup sweet savory with gently fruity acidity full satiny smooth mouthfeel the finish consolidates to notes of blueberry and dark chocolate with undertones of thyme
631,balanced deeply sweet with savory undertones caramel red apple baking chocolate grapefruit zest freesia like flowers in aroma and cup sweetly savory structure with crisp lively acidity lightly syrupy mouthfeel the finish centers around notes of caramel and freesia with a lasting hint of grapefruit zest
632,richly sweet chocolaty and fruit toned mango dark chocolate sandalwood maple syrup rhododendron like flowers in aroma and cup sweet toned structure with bright juicy acidity plush syrupy mouthfeel the resonant flavor saturated finish leads with mango and dark chocolate suggestions
633,high toned richly sweet tart black currant hibiscus flower fresh cut cedar roasted cocoa nib tamarind in aroma and cup richly sweet tart structure with resonant lively acidity very syrupy mouthfeel the pleasing finish leads with black currant and hibiscus flower in the short rounding to cocoa nib and cedar in the long
634,complexly fruit driven with subtle savory underpinnings strawberry guava banana cocoa nib honeysuckle hints of goat cheese in aroma and cup richly aromatic deeply sweet with bright juicy acidity very full syrupy mouthfeel the deep toned finish elegantly extends the character of the cup
635,delicately and richly aromatic complex multi layered plum blossom guava cocoa nib narcissus lemon verbena in aroma and cup sweetly tart with bright juicy acidity lush silky mouthfeel flavor laden finish cocoa and floral driven
636,sweetly tart deeply savory baking spices caramel goat milk yogurt baking chocolate violet in aroma and cup sweet savory structure with pert acidity viscous creamy mouthfeel a delicate finish consolidates to baking spices with goat milk undertones
637,delicately fruit forward richly sweet strawberry raspberry coulis nougat elm maple syrup in aroma and cup sweet tart structure with bright lively acidity crisp satiny mouthfeel the quiet finish leads with notes of strawberry and nougat
638,crisp gently fruit toned raspberry jam baking chocolate magnolia almond cedar in aroma and cup sweet structure with round acidity velvety smooth mouthfeel quiet chocolaty and nut driven finish
639,delicately and sweetly herbaceous lemon verbena tangerine zest cocoa nib magnolia oak in aroma and cup crisply sweet with gently savory undertones silky mouthfeel the finish consolidates to notes of lemon verbena and oak with hints of magnolia like florals
640,complex richly tart with compelling savory undertones dark chocolate pomegranate yogurt almond brittle sandalwood freesia like flowers in aroma and cup balanced structure with juicy citrusy acidity very full syrupy mouthfeel the flavor laden finish carries over all the notes from the cup dark chocolate and pomegranate in particular
641,delicately rich floral and cocoa toned baking chocolate star jasmine blackberry lime zest brown sugar in aroma and cup deeply sweet with vibrant round acidity plush syrupy mouthfeel the resonant finish centers around notes of baking chocolate jasmine and brown sugar
642,richly sweet chocolaty spice toned dark chocolate plum macadamia nut baking spices narcissus in aroma and cup sweet structure with gentle round acidity syrupy smooth mouthfeel the finish is deeply chocolaty with notes of baking spices lingering into the long
643,spice toned fruit driven dried raspberry cocoa powder lemon verbena cedar agave syrup in aroma and cup sweetly tart structure with brisk acidity full satiny smooth mouthfeel fruit toned finish with notes of dried raspberry and cocoa undertones
644,provocative in structure richly sweet savory tangy pineapple kefir vanilla cocoa nib aromatic orchid fresh cut fir in aroma and cup sweet savory structure with high toned acidity lightly syrupy very viscous mouthfeel the finish consolidates to notes of vanilla cocoa and tangy pineapple
645,sweetly tart fruit and floral toned apricot jasmine cocoa nib nougat hazelnut butter in aroma and cup sweet tart structure with juicy balanced acidity plush syrupy mouthfeel the resonant flavor saturated finish carries over all the lovely aromatics from the cup
646,chocolaty floral toned baking chocolate honeysuckle date almond butter cedar in aroma and cup sweet structure with bright acidity satiny smooth mouthfeel baking chocolate and honeysuckle supported by cedar carry the finish
647,balanced richly sweet tart lychee orange zest amber oil cocoa nib narcissus like flowers in aroma and cup sweet toned structure with poised acidity syrupy smooth mouthfeel the floral toned finish centers around amber and orange zest suggestions
648,cocoa toned gently tart pomegranate cocoa powder almond narcissus molasses in aroma and cup sweet tart structure with brisk acidity satiny mouthfeel the finish consolidates to notes of cocoa powder and molasses
649,citrusy spice toned dried orange zest baking spices golden raisin hazelnut fresh cut oak in aroma and cup sweet toned structure with brisk acidity plush syrupy mouthfeel the crisp finish is redolent with dried orange zest and baking spices
650,sweetly savory rich and deep dark chocolate violet pomegranate maple syrup cedar in aroma and cup crisply bright with juicy acidity very syrupy mouthfeel notes of violet and pomegranate with undertones of cedar resonate in the finish
651,sweetly tart vibrant dried apricot caramel magnolia thyme oak in aroma and cup sweet tart structure with brisk acidity plush viscous mouthfeel the quiet finish leads with notes of caramel toned apricot and fresh cut oak
652,delicate richly aromatic floral toned honeysuckle cocoa nib pink grapefruit zest apricot marjoram in aroma and cup sweetly tart with juicy high toned acidity plush syrupy mouthfeel floral and cocoa driven finish
653,evaluated as espresso bright juicy floral toned chocolate fudge black cherry lemon verbena brown sugar sandalwood in aroma and cup satiny smooth mouthfeel the crisply sweet finish leads with black cherry and brown sugar suggestions in cappuccino scaled milk black cherry and dark chocolate notes harmonize far into the long finish
654,evaluated as espresso deep toned richly sweet tart tamarind plum dark chocolate cedar molasses in aroma and small cup very syrupy mouthfeel the finish centers on tamarind and rich cedar notes balanced in three parts milk driven by stone fruit and chocolate
655,chocolaty and sweetly nut toned baking chocolate almond butter nougat lychee lily in aroma and cup sweet structure with gentle round acidity velvety smooth mouthfeel crisp chocolaty finish with undertones of almond and lily
656,crisply sweet citrusy orange zest cocoa powder hazelnut oak maple syrup in aroma and cup sweet toned structure with brisk acidity delicate silky mouthfeel the gently drying finish centers on notes of cocoa toned orange and hazelnut
657,cocoa and spice toned cocoa powder cherry fir hazelnut cinnamon in aroma and cup sweet structure with bright acidity full satiny mouthfeel the finish is nutty and cocoa driven supported by hints of cherry and fir
658,sweet toned delicately floral raspberry narcissus cocoa nib almond agave syrup in aroma and cup deeply sweet structure with rich vibrant acidity full viscous mouthfeel the finish leads with notes of raspberry and agave in the short rounding to cocoa nib in the long
659,crisply sweet gently resonant freesia apricot pistachio maple syrup cedar in aroma and cup sweetly savory structure with round acidity full syrupy mouthfeel the finish consolidates to notes of apricot and pistachio
660,crisply deep toned rich complex dark chocolate cedar musk dried apricot red wine grape in aroma and cup sweet in structure with bright acidity the rich toned finish consolidates to red wine grape and musk
661,gently sweet tart complexly layered blueberry jam jasmine almond cedar caramel in aroma and cup fruit forward structure with gentle acidity full syrupy mouthfeel finish consolidates to notes of blueberry and caramel with undertones of cedar
662,high toned floral star jasmine apricot lemon verbena maple syrup marjoram in aroma and cup crisply sweet with vibrant delicate acidity silky smooth mouthfeel flavor saturated short finish with notes of star jasmine and lemon verbena supported by a hint of marjoram extending into the long
663,winy and fruit toned wine barrel cherry pie sandalwood agave syrup gardenia in aroma and cup sweetly tart with citrusy acidity plush syrupy mouthfeel the finish is crisp tannic and fruity floral
664,deep toned sweetly fermenty oak barrel chocolate fudge raspberry freesia like flowers a hint of rum in aroma and cup sweet structure with gentle round acidity satiny smooth mouthfeel chocolaty oak toned finish with rum undertones
665,complex floral and citrus toned lilac cocoa nib tangerine zest apricot sandalwood in aroma and cup delicately sweet tart with juicy acidity very full syrupy mouthfeel the deeply flavor saturated finish resonates on and on
666,delicate high toned elegantly fruit driven wild strawberry tangerine zest cocoa nib sandalwood thyme in aroma and cup bright sweetly tart structure with juicy acidity silky smooth lilting mouthfeel the resonant finish is saturated with flavor notes from aroma and cup in harmonious balance
667,richly sweet tart brightly fruit forward pomegranate cocoa nib butterscotch hazelnut passionflower in aroma in cup sweet savory in structure with citrusy acidity crisply smooth mouthfeel quiet cocoa toned finish with sweet hazelnut undertones
668,richly aromatic chocolaty dark chocolate bing cherry pink grapefruit zest lily fresh cut oak in aroma and cup crisply sweet with brisk acidity plush creamy mouthfeel the finish consolidates to chocolate covered cherry with lily undertones
669,deeply sweet tropical pineapple lychee baking chocolate jasmine lemon verbena in aroma and cup sweetly tart with very lively phosphoric acidity silky smooth mouthfeel the finish is fruit driven with jasmine undertones
670,richly aromatic sweetly tart deeply savory lilac dark chocolate lemon drop pink grapefruit zest shiitake mushroom in aroma and cup harmonious sweet tart savory structure lyrical syrupy smooth mouthfeel the flavor saturated finish leads with citrus notes lemon drop pink grapefruit zest in the short rounding to deep chocolate and sweet mushroom notes in the long
671,fruit forward deep toned blueberry jam dark chocolate magnolia lemon verbena maple syrup in aroma and cup sweet structure with pert acidity full syrupy mouthfeel the berry driven finish is supported by suggestions of dark chocolate and lemon verbena
672,sweetly savory complex pipe tobacco date narcissus almond baking chocolate in aroma and cup sweet toned with lively acidity very full creamy mouthfeel the finish centers on notes of date and pipe tobacco
673,evaluated as espresso sweetly tart nut toned almond butter carob lemon zest date magnolia in aroma and small cup crisp satiny mouthfeel nutty finish with hints of carob and lemon zest in three parts milk almond and magnolia notes gently harmonize
674,richly sweet deeply chocolaty milk chocolate red currant freesia like flowers cedar maple syrup in aroma and cup crisp sweetly tart structure with vibrant juicy acidity plush viscous mouthfeel the quiet finish centers around notes of milk chocolate freesia and maple syrup
675,sweetly nut toned almond pie cherry oak prairie flowers baking chocolate in aroma and cup sweet structure with brisk acidity velvety smooth mouthfeel gently drying sweetly nut toned finish
676,bright richly floral jasmine cocoa nib tangerine zest almond nougat cedar in aroma and cup sweet tart structure with bright juicy acidity full satiny mouthfeel the satisfying finish leads with notes of jasmine and tangerine in the short rounding to almond nougat and cocoa nib in the long
677,richly sweet savory spice and floral toned dried apricot tangerine zest narcissus like flowers brown sugar a hint of thyme in aroma and cup in structure sweetly tart and juicy with a savory depth syrupy smooth mouthfeel spicy florals carry the quietly flavor saturated finish
678,high toned crisply sweet tart plum cocoa nib maple syrup lilac cedar in aroma and cup sweetly tart structure with bright juicy acidity satiny mouthfeel resonant flavor saturated finish plum and lilac in the short with cedar resurfacing in the long
679,delicately sweet tart tamarind almond lemon verbena baking chocolate freesia in aroma and cup sweet in structure with bright acidity light silky mouthfeel the flavor saturated finish is centered around notes of tamarind and almond
680,sweetly fruit toned crisply tart raspberry honeysuckle almond lemon zest caramel in aroma and cup sweet tart structure with juicy acidity full syrupy smooth mouthfeel the finish consolidates to raspberry and caramel notes
681,caramel and floral toned salted caramel lilac nutella orange zest cedar in aroma and cup sweet structure with gentle round acidity lightly syrupy vibrant mouthfeel rich caramelly finish with undertones of nutella and orange zest
682,deeply pungent sweetly savory dark chocolate narcissus black cherry cardamom cashew in aroma and cup sweet savory structure with roundly tart acidity full creamy mouthfeel the floral toned finish leads with notes of narcissus balanced by dark chocolate and cashew underneath
683,explosively floral tropical star jasmine dark chocolate pineapple kefir pistachio sandalwood in aroma and cup deeply sweet structure with lactic undertones and ripe floral acidity plush syrupy smooth mouthfeel notes of star jasmine lead the zesty finish complicated by gentle kefir like suggestions
684,crisply sweet tart fruit toned vanilla yogurt ibarra chocolate chocolate with cinnamon gardenia amber date in aroma and cup rich sweetly tart structure with bright tangy acidity syrupy smooth mouthfeel resonant flavor laden long finish
685,evaluated as espresso high toned richly aromatic juicy and bright bing cherry dark chocolate fresh cut cedar narcissus like flowers marjoram in aroma and small cup very full syrupy mouthfeel resonant flavor saturated finish concentrated and balanced in three parts milk floral tartly fruit forward very chocolaty
686,subtly complex nuanced high toned mulberry cocoa nib tangerine zest thyme agave syrup in aroma and cup sweet tart structure with bright juicy acidity plush viscous mouthfeel the resonant flavor saturated finish carries forward all the flavor notes from the cup
687,subtly and sweetly rich deeply savory boysenberry cocoa nib fine musk honeysuckle oak in aroma and cup sweet savory structure with juicy acidity crisp syrupy mouthfeel the finish resonates with layers of perfumy florals
688,juicy sweet high toned multi layered strawberry guava star jasmine hazelnut amber cocoa nib in aroma and cup brightly sweet tart structure with vibrant acidity lively satiny smooth mouthfeel fruit and floral toned finish
689,very sweet fruit toned date rum barrel narcissus dark chocolate marjoram in aroma and cup sweet tart structure with bright juicy acidity plush syrupy smooth mouthfeel long complex harmonious finish
690,vibrantly sweet tart balanced lemon drop red currant cocoa nib almond butter cedar in aroma and cup sweetly tart structure with bright vibrant acidity crisp satiny mouthfeel finish consolidates to notes of citrusy cocoa and red currant
691,crisp balanced richly nut toned nutella red apple freesia agave syrup cedar in aroma and cup very sweet in structure with brisk acidity plush syrupy smooth mouthfeel sweetly nut toned finish supported by freesia like floral tones
692,tropically sweet floral driven star jasmine mango date macadamia nut amber in aroma and cup sweet tart structure with gently bright acidity delicately confident acidity resonantly fruit and floral toned finish
693,delicate lyrically sweet gently tart tea rose pink grapefruit zest cocoa nib fresh cut oak wild honey in aroma and cup sweet structure with gently bright acidity plush satiny mouthfeel the finish consolidates to richly sweet notes of tea rose and honey with cocoa nib undertones
694,delicately sweet floral toned honeysuckle lemon verbena pink peppercorn baking chocolate hazelnut in aroma and cup sweet structure with vibrant balanced acidity satiny mouthfeel floral toned finish with hints of baking chocolate
695,sweetly floral and berry driven balanced narcissus blueberry honey nutmeg milk chocolate in aroma and cup sweet tart structure with round gentle acidity plush syrupy smooth mouthfeel finish leads with notes of blueberry and narcissus in the short consolidating to milk chocolate in the long
696,delicate richly aromatic distinctively high toned bergamot jasmine meyer lemon zest cocoa nib praline in aroma and cup sweetly tart floral structure with juicy balanced acidity silky buoyant mouthfeel long juicy satisfying finish
697,balanced sweet toned floral tea rose cocoa nib pear almond oak in aroma and cup sweet structure with balanced poised acidity satiny smooth mouthfeel the floral toned finish that leads with notes of tea rose and almond with hints of pear
698,very sweet floral toned freesia pink grapefruit zest wild honey guava oak in aroma and cup balanced richly sweet structure with high toned acidity viscous satiny mouthfeel the flavor saturated finish centers around notes of freesia and pink grapefruit zest
699,opulent richly sweet tart savory black currant jam dark chocolate fudge cherry blossom toasted pecan cedar in aroma and cup sweet toned with tart savory underpinnings elegant balanced high toned acidity deeply chocolaty and fruit toned in the finish
700,gently bright richly floral raspberry dark chocolate macadamia nut star jasmine maple syrup in aroma and cup sweet tart savory structure with straightforward acidity plush velvety smooth mouthfeel quietly juicy round finish with notes of raspberry and dark chocolate
701,sweetly tart floral driven honeysuckle vanilla bean cocoa nib peach fresh cut oak in aroma and cup crisply sweet structure with gently bright ripe acidity very full viscous mouthfeel the finish consolidates to notes of peach vanilla bean and oak
702,chocolaty deeply sweet savory dark chocolate fresh ginger plum blossom lemon verbena italian parsley in aroma and cup savory leaning structure with sweet undertones and crisp citrusy acidity lively tannic mouthfeel gently drying chocolaty and spice toned finish
703,high toned richly sweet bing cherry narcissus almond butter lemon verbena cedar in aroma and cup sweet tart structure with bright acidity crisp satiny smooth mouthfeel the finish leads with notes of cherry and lemon verbena rounding to rich almond notes in the long
704,richly fruit toned juicy and deep raspberry dark chocolate hazelnut lemon thyme sandalwood in aroma and cup sweetly tart with brisk acidity very full syrupy smooth mouthfeel dark chocolate notes support the fruit laden finish
705,deep sweetly earth toned fresh humus pipe tobacco persimmon molasses magnolia in aroma and cup sweet savory structure with bright juicy acidity very full syrupy mouthfeel the finish consolidates to notes of pipe tobacco and magnolia with hints of persimmon
706,confidently sweet tart decidedly floral honeysuckle tangerine zest plum pipe tobacco maple syrup in aroma and cup sweet toned with bright juicy acidity silky smooth mouthfeel crisp flavor saturated finish
707,delicately fruit toned raspberry jam lemon thyme dark chocolate almond brittle fresh cut oak in aroma and cup sweet structure with gentle lively acidity full syrupy mouthfeel finish consolidates to notes of lemon thyme and oak
708,high toned delicate richly sweet apricot cocoa nib plum blossom cedar honey in aroma and cup sweet toned structure with bright juicy acidity full syrupy smooth mouthfeel cocoa toned apricot and plum blossom lead the resonant lingering finish
709,evaluated as espresso complex multi layered richly deep honeysuckle dark chocolate dried apricot perique fermented pipe tobacco pistachio in aroma and small cup viscous creamy mouthfeel resonant long flavor saturated finish the milk shot is floral chocolaty and stone fruit driven in equal measure
710,evaluated as espresso richly fruit centered deeply aromatic raspberry dark chocolate sandalwood narcissus lemon verbena in aroma and small cup plush viscous mouthfeel fruit and floral toned finish in three parts milk spice toned sweet florals preside with support from rich chocolate notes
711,delicately sweet subtly tart elegant apricot almond cocoa nib key lime caramel in aroma and cup sweet tart structure with bright juicy acidity very full syrup mouthfeel resonant cocoa toned finish
712,delicate sweetly nut toned candied walnut persimmon grapefruit zest oak magnolia in aroma and cup richly sweet structure with gentle round acidity lightly syrupy mouthfeel the gently drying finish is redolent of candied walnut
713,delicately vibrant crisply sweet tart peach cocoa nib lilac pink grapefruit zest pistachio in aroma and cup balanced sweetly tart in structure richly silky mouthfeel the satisfying finish consolidates to notes of cocoa toned stone fruit
714,crisply sweet tart green apple magnolia oak maple syrup almond in aroma and cup sweet tart structure with brisk acidity delicate silky mouthfeel almond and apple notes lead in the quiet finish
715,lyrically sweet juicy elegantly bright strawberry guava coconut hop flowers narcissus lemon balm in aroma and cup sweetly tart with juicy tantalizing acidity delicate very silky mouthfeel resonant long flavor saturated finish
716,vibrant sweetly savory floral toned cocoa nib black currant amber honeysuckle hop flowers in aroma and cup sweetly savory structure with juicy acidity crisp lightly syrupy mouthfeel the resonant finish centers around black currant and hop flowers in the short cocoa nib and amber in the long
717,crisply sweet deeply rich date baking chocolate magnolia maple syrup hazelnut butter in aroma and cup sweet in structure with brisk acidity full syrupy mouthfeel chocolaty sweetly nut toned finish
718,rich toned deeply aromatic black currant toffee narcissus cedar agave syrup in aroma and cup sweetly tart with bright juicy acidity syrupy smooth mouthfeel the finish consolidates to notes of black currant and toffee that carry far into the long
719,delicate spice toned bergamot cocoa nib yellow plum almond a hint of jasmine in aroma and cup sweet savory in structure with brisk acidity light satiny mouthfeel the spice toned finish leads with notes of bergamot and plum in the short rounding to nut toned cocoa in the long
720,crisply sweet deep toned pecan pralines date magnolia cedar baking chocolate in aroma and cup sweet structure with brisk acidity satiny mouthfeel notes of baking chocolate lead the quiet finish supported by pecan and cedar
721,rich toned deeply aromatic dark chocolate hop flowers brown sugar orange zest hazelnut in aroma and cup bittersweet structure with gentle round acidity velvety mouthfeel chocolaty finish with undertones of orange zest and hazelnut
722,bright and tropical deeply sweet lychee amber ginger blossom almond butter a hint of coconut in aroma and cup sweet tart structure with crisp citrusy acidity full syrupy mouthfeel the finish consolidates to notes of ginger blossom and coconut
723,elegantly floral delicately fruit toned honeysuckle pink grapefruit zest agave syrup cocoa nib lemon balm in aroma and cup richly sweet structure with bright balanced acidity lyrically silky mouthfeel pretty floral leaning finish centers on notes of honeysuckle and lemon balm with undertones of cocoa nib
724,deeply sweet chocolaty chocolate fudge magnolia almond brittle gently scorched sandalwood marshmallow in aroma and cup bittersweet structure with gentle round acidity full creamy mouthfeel chocolaty finish with almond and sandalwood undertones
725,evaluated as espresso deep toned chocolaty and rich dark chocolate hazelnut gently scorched cedar raisin gardenia like flowers in aroma and small cup full creamy mouthfeel chocolaty wood framed finish milk amplifies both dark chocolate and hazelnut notes in a richly sweet presentation
726,richly sweet tart fruit forward dried raspberry dark chocolate almond brittle thyme lemon verbena in aroma and cup brightly sweet with juicy acidity satiny smooth mouthfeel resonant flavor laden finish
727,crisply sweet balanced plum orange zest almond butter freesia like flowers cedar in aroma and cup sweet structure with brisk acidity very smooth syrupy mouthfeel the finish consolidates to notes of rich almond butter and orange zest with cedar undertones
728,balanced sweet toned date baking chocolate cedar freesia like flowers almond in aroma and cup sweet structure with brisk acidity satiny smooth mouthfeel the cedary finish is supported by notes of date and freesia
729,gently fruit toned raspberry jam wine barrel dark chocolate hazelnut gardenia in aroma and cup sweet toned with brisk acidity velvety smooth mouthfeel the finish evokes hard berry cider with chocolate and gardenia undertones
730,crisply sweet chocolaty baking chocolate raisin cedar almond lily in aroma and cup sweet toned structure with brisk acidity velvety mouthfeel gently drying finish consolidates to notes of chocolate toned raisin and cedar
731,deeply sweet rich toned juicy dried apricot dark chocolate cashew pink grapefruit zest magnolia in aroma and cup sweet tart structure with balanced acidity full syrupy mouthfeel the fruit forward finish is balanced by notes of cashew and dark chocolate
732,concentrated rich toned deep dried plum sandalwood baking chocolate star jasmine lemon thyme in aroma and cup deeply sweet structure with bright acidity very full satiny smooth mouthfeel finish consolidates to notes of dried plum and sandalwood with hints of baking chocolate
733,balanced richly sweet apricot agave syrup baking chocolate cashew butter tangerine zest in aroma and cup sweet structure with pert acidity plush syrupy smooth mouthfeel the long gentle finish centers around notes of chocolate and cashew butter with hints of tangerine zest
734,evaluated as espresso richly floral complex nuanced lilac dark chocolate black cherry myrrh lemon thyme in aroma and small cup very syrupy smooth mouthfeel deep rich flavor laden finish this coffee particularly impresses in three parts milk with lyric lilac top notes rich fudge like bottom notes and black cherry myrrh and lemon thyme in the mid palate
735,subtly complex deeply sweet star jasmine cocoa nib mango frankincense spearmint in aroma and cup bright juicy acidity viscous syrupy mouthfeel the balanced finish leads with notes of star jasmine and mango followed by cocoa suggestions
736,delicate high toned complex guava cocoa nib narcissus sandalwood hazelnut butter in aroma and cup sweet tart structure with bright juicy acidity very smooth syrupy mouthfeel resonant finish consolidates to attractive notes of guava and cocoa nib
737,balanced bright cocoa nib orange zest almond brittle plum cedar in aroma and cup sweet toned with juicy high toned acidity crisp velvety mouthfeel quiet finish that leads with notes of cocoa nib and orange zest rounding to cedar in the long
738,crisply sweet chocolaty baking chocolate apricot lemon verbena fresh cut fir nougat in aroma and cup sweet in structure with brisk acidity crisp satiny smooth mouthfeel the finish centers around notes of baking chocolate fir and lemon verbena
739,evaluated as espresso bright juicy cleanly fruit forward dark chocolate pomegranate tangerine zest brown sugar oak in aroma and small cup satiny smooth mouthfeel the crisply sweet finish leads with pomegranate and brown sugar notes followed by fresh cut oak pomegranate and dark chocolate saturate the rich milk shot
740,richly sweet deeply berry toned dried blueberry rhododendron lime zest dark chocolate cedar in aroma and cup sweet toned structure with gentle round acidity very syrupy mouthfeel the finish consolidates to notes of dried blueberry and dark chocolate with cedar undertones
741,sweet savory deeply aromatic dried raspberry young goat cheese vanilla dark chocolate barley in aroma and cup savory leaning structure with sweet tart lactic acidity syrupy smooth mouthfeel fruit toned chocolaty finish with a lactic tang
742,gently crisp sweet toned honeydew melon baking chocolate hazelnut fir lemon verbena in aroma and cup sweet in structure with pert acidity lightly satiny mouthfeel nut toned finish with undertones of aromatic wood
743,lyrically sweet luxuriously chocolaty chocolate fudge tamarind sandalwood narcissus a hint of wine barrel in aroma and cup sweetly tart structure with vibrant juicy acidity plush creamy mouthfeel the finish resolves around chocolate fudge and tamarind with undertones of rich sandalwood
744,richly aromatic tropical lychee pineapple cocoa nib lemon verbena ginger blossom in aroma and cup sweetly tart with bright juicy acidity full syrupy smooth mouthfeel long resonant flavor saturated finish
745,balanced deep toned floral honeysuckle apricot almond butter dark chocolate a hint of thyme in aroma and cup sweet structure with comfortable straightforward acidity plush viscous mouthfeel floral driven finish with undertones of dark chocolate and almond
746,richly sweet tart cleanly fruit toned pineapple guava rhododendron cocoa nib cane sugar a hint of spearmint in aroma and cup brightly sweet with citrusy acidity full satiny smooth mouthfeel the crisp lingering finish centers around notes of rhododendron and spearmint
747,crisply sweet tart balanced bright nectarine narcissus meyer lemon zest nougat cedar in aroma and cup sweetly tart structure with lively almost effervescent acidity satiny smooth fluffy mouthfeel the lingering finish leads with notes of nectarine and narcissus rounding to nougat in the long
748,delicately sweet deeply fruit toned goji berry alyssum almond brittle marjoram sandalwood in aroma and cup sweet structure with high toned acidity very full viscous mouthfeel finish consolidates to notes of goji berry and almond brittle
749,deeply sweet savory berry toned mulberry brown sugar meyer lemon zest dark chocolate hop flowers in aroma and cup sweet savory structure with gentle round acidity very full syrupy mouthfeel richly bittersweet finish with notes of brown sugar dark chocolate and hop flowers
750,deeply rich and sweet molasses dark chocolate almond lily date in aroma and cup sweet toned structure with gentle round acidity velvety mouthfeel crisp quiet finish centers around notes of dark chocolate and almond
751,evaluated as espresso richly aromatic deeply sweet savory floral toned hop flowers lilac butterscotch almond brittle date in aroma and small cup syrupy smooth mouthfeel resonant lasting finish redolent of both sweet and savory florals and deep nut butter tones
752,delicately fruit toned sweetly herbaceous dried mango cocoa nib lemon verbena almond star jasmine in aroma and cup sweet tart structure with gently bright acidity full viscous mouthfeel long resounding flavor saturated finish
753,deeply aromatic sweet savory grape candy dark chocolate lavender shiitake mushroom cedar in aroma and cup sweetly savory structure with gentle round acidity full syrupy mouthfeel savory tending finish consolidates to notes of shiitake mushroom and lavender
754,evaluated as espresso cleanly fruit toned deep complex pomegranate narcissus lemon thyme chocolate fudge sandalwood in aroma and small cup creamy mouthfeel richly chocolaty finish with undertones of sandalwood the milk shot is chocolaty through and through fudge like in its depth complicated by sweet tart pomegranate notes
755,delicately sweet tart rich toned dried apricot dark chocolate hazelnut butter gardenia marjoram in aroma and cup sweet structure with tart juicy acidity full satiny smooth mouthfeel the quiet finish centers around dried apricot and hazelnut
756,bright juicy high toned guava almond butter wild honey tangerine zest narcissus like flowers in aroma and cup richly sweet elegantly tart structure with high toned vibrant acidity very full syrupy mouthfeel the long lingering flavor saturated finish carries forward all the notes from the cup
757,richly aromatic deeply complex tamarind narcissus black currant ripe tomato cocoa nib in aroma and cup sweet savory structure with juicy tart acidity very full syrupy smooth mouthfeel savory leaning finish driven by notes of ripe tomato and cocoa nib with undertones of black currant and cedar
758,juicy bright tropical pineapple myrrh coconut freesia like flowers almond brittle in aroma and cup sweet tart structure with juicy lively acidity plush syrupy mouthfeel the finish leads with notes of pineapple and freesia rounding to almond and coconut in the long
759,deeply spice toned singular and complex dried red currant sandalwood fresh cinnamon dark chocolate brown sugar in aroma and cup richly sweet with wine toned acidity viscous full mouthfeel the spice toned finish is supported by notes of dark chocolate and red currant
760,chocolaty sweetly nut toned baking chocolate hazelnut butter bing cherry cedar maple syrup in aroma and cup sweet in structure with brisk acidity lightly syrupy mouthfeel the resonant finish leads with notes of baking chocolate and hazelnut think nutella with undertones of cherry
761,cocoa toned balanced cocoa powder date magnolia orange zest hazelnut in aroma and cup sweet in structure with gentle round acidity satiny smooth mouthfeel the gently drying finish centers around notes of cocoa powder and orange zest with undertones of magnolia
762,blind assessment delicately floral toned lilac pear maple syrup almond orange zest in aroma and cup crisply sweet with brisk acidity lightly satiny mouthfeel almond and caramel notes lead the quiet pleasing finish
763,richly fruit and floral toned raspberry honeysuckle praline marjoram oak in aroma and cup sweet tart structure with crisp citrusy acidity viscous syrupy mouthfeel the rich toned finish consolidates to notes of praline and fresh cut oak
764,vibrant sweet savory floral toned cocoa nib red currant myrrh honeysuckle hop flowers in aroma and cup sweetly savory structure with juicy acidity crisp lightly syrupy mouthfeel the resonant finish centers on red currant and hop flowers in the short cocoa nib and myrrh in the long
765,evaluated as espresso richly sweet crisply chocolaty dark chocolate date magnolia oak a hint of marjoram in aroma and small cup satiny mouthfeel crisp chocolaty finish in cappuccino scaled milk deep chocolate notes are further animated as are magnolia like florals
766,brightly sweet richly tart rose hips dried nectarine frangipane cedar agave syrup in aroma and cup tart leaning structure with pert acidity smooth syrupy mouthfeel finish consolidates to notes of rose hips and cedar
767,richly sweet floral toned magnolia date almond caramel fresh cut cedar in aroma and cup sweet structure with gentle round acidity full syrupy smooth mouthfeel floral and nut toned finish
768,citrusy and sweetly herbaceous cocoa toned cocoa nib marjoram pink grapefruit zest nougat cedar in aroma and cup sweetly savory with juicy acidity silky smooth mouthfeel the finish consolidates to notes of cocoa nib marjoram and nougat
769,gently fruit toned sweetly tart plum cocoa nib lemon verbena oak maple syrup in aroma and cup crisp high toned with juicy acidity satiny mouthfeel the sweetly herbaceous finish is driven by lemon verbena and maple syrup notes with oak undertones
770,balanced delicate floral toned dogwood flowers baking chocolate apricot cedar agave syrup in aroma and cup sweet toned with balanced acidity satiny smooth mouthfeel chocolaty gently floral finish with a cedar throughline
